Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Tomas Delaney,£45K  £130K,2.39,114,JD Cymru Premier,,,,10.52,0.03,321,22%,124.77,0.36,,0.32,0.72,0.29,0.09,61%,3.21,0.13,6%,7.38,0.75,10%,1,11.7km,0.85,21.97,18.62,6.43,13.05,0.85,1.34,3.34,2.03,0.16,0.59,0.98,4.16,0.89,1.31,0,31%,1.08,75%,85%,6.69,0,0.46,1.15,0.39
Wnt,  ,Ben Jones,£0,0.78,49,JD Cymru Premier,,,,3.37,0.12,81,20%,"2,165.00",0.07,,0.01,0.04,0.01,0.07,20%,1.04,0.12,13%,0.91,0.12,14%,3,11.8km,0.71,44.69,39.7,7.36,17.92,4.41,0.04,0.21,0.04,0.33,0.91,2,7.15,1.66,2.29,0,31%,1.45,78%,89%,9.85,0.04,0.12,1.66,0.04
,  ,Ross Craig,£0,0.85,53,JD Cymru Premier,,,,6.09,0.44,193,21%,570.2,0.1,,0.09,0.16,0.09,0.12,50%,1.01,0,11%,3.69,0.44,12%,14,12.2km,2.15,31.95,26.99,12.53,21.62,1.8,0.13,0.76,0.38,0.38,1.33,1.39,6.22,1.23,2.18,0,17%,1.7,92%,84%,11.21,0.03,0.19,1.23,0.13
Lst,  ,Rhodri Graham,£0,0.76,52,JD Cymru Premier,,,,3.33,0.15,88,8%,"2,379.00",0.21,,0.05,0.04,0.05,0.12,25%,1.13,0.11,14%,7.79,0.79,10%,4,11.5km,0.57,44.75,38.13,8.02,16,3.82,0.23,0.45,0.11,0.38,1.17,1.4,9.38,1.21,3.37,0,34%,2.12,79%,85%,10.67,0.04,0.23,1.51,0.23
,  ,Ioan Davies,£0,0.79,53,JD Cymru Premier,,,,4.98,0.09,114,9%,"1,030.00",0.17,,0.21,0.09,0.21,0.22,41%,1.22,0,9%,0.92,0.09,10%,2,12.7km,1.14,31.54,27,7.73,20.58,2.05,0.22,0.96,0.39,0.09,0.83,1.22,9.31,1.18,2.18,0,25%,0.92,55%,86%,6.86,0,0.22,1.18,0.17
,  ,Jamie Edwards,£0,1.23,64,JD Cymru Premier,,,,6.72,0.55,172,8%,767.67,0.22,,0.12,0.12,0.12,0.09,33%,1.68,0,12%,10.86,1.21,11%,14,12.4km,2.38,29.7,25.05,10.4,21.1,2.31,0.43,1.41,0.47,0.39,1.17,1.37,4.85,1.56,2.77,0,25%,1.68,78%,84%,10.98,0,0.27,2.62,0.2
,  ,Jack Johnson,£1K  £3K,0.93,64,JD Cymru Premier,,,,4.06,0.12,98,,,0.06,,0.03,,0.03,0.08,40%,1.53,0.08,20%,0.99,0.21,21%,3,12.0km,0.58,49.68,44.01,8.9,8.61,3.89,0.08,0.41,0.17,0.41,1.28,0.99,10.56,1.08,2.77,0,38%,1.86,69%,89%,8.9,0.17,0.08,1.08,0.04
,  ,Paul Williams,Not for Sale,1.28,75,JD Cymru Premier,,,,5.22,0.1,150,27%,258.5,0.25,,0.14,0.35,0.14,0.11,49%,1.29,0.07,15%,1.29,0.14,11%,3,12.3km,1.32,30.74,26.36,9.23,18.1,2.16,0.28,1.29,0.63,0.28,0.94,1.29,13.68,1.36,2.05,0,25%,1.18,89%,86%,9.82,0,0.38,1.46,0.28
,  ,Mikhail Veselov,£14K  £45K,1.06,89,Optibet Virsliga,,,,7.37,0,97,9%,592.5,0.14,,0.19,0.15,0.19,0.11,30%,2.05,0.08,,8.13,0.61,7%,0,12.7km,1.29,32.13,27.19,10.1,17.77,2.28,0.68,1.75,0.53,0.15,0.84,0.99,9.42,1.67,1.52,0,28%,0.68,56%,85%,8.58,0,0.08,3.27,0.15
,  ,Adam Johns,£0,1.75,81,Optibet Virsliga,,,,3.69,0,38,,,0.05,,0.03,,0.03,0.14,0%,2.62,0.19,,0.58,0,0%,0,12.5km,0.78,55.05,45.34,8.74,7.86,5.34,0,0.19,0,0.1,0.87,0.97,6.41,1.07,3.11,0,71%,2.62,87%,82%,8.54,0,0.29,1.07,
,  ,Gļebs Mihadjuks,£0,2,86,Optibet Virsliga,,,,7.25,0.89,90,15%,372.33,0.05,,0.27,0.24,0.27,0.17,35%,2.26,0,16%,13.7,1.29,9%,11,12.7km,3.63,32.15,28.28,12.73,17.97,1.45,0.64,1.61,0.56,0.48,0.97,1.85,4.35,0.89,2.5,0,31%,1.53,100%,88%,10.96,0,0.16,1.13,0.16
Inj,  ,Andrey Cherny,Not for Sale,1.79,97,Optibet Virsliga,,,,4.42,0.21,43,8%,875,0.31,,0.07,0.1,0.07,0.06,33%,1.13,0,25%,0.82,0.21,25%,2,12.3km,0.93,43.3,37.95,7.41,12.55,3.29,0.62,1.23,0.41,0.31,1.13,1.34,11.83,1.54,2.88,0,26%,1.54,79%,88%,9.67,0.1,0.41,1.54,0.21
,  ,Sven Groznica,£150K  £450K,1.5,99,Optibet Virsliga,,,,4.58,0,60,,,0.17,,0.12,,0.12,0.12,23%,1.3,0.08,,0.69,0,0%,0,11.8km,0.84,50.65,45.31,9.02,14.67,4.58,0.38,0.99,0.23,0.31,0.92,0.99,14.21,2.06,2.9,0,28%,1.38,64%,89%,10.54,0,0.53,2.37,0.23
,  ,Daniel Zohar,£40K  £120K,0.87,89,Optibet Virsliga,,,,6.45,1.27,81,9%,565.5,0.18,,0.24,0.16,0.17,0.13,39%,1.83,0,22%,5.65,1.27,23%,16,12.9km,3.26,36.6,31.35,12.81,21.72,2.79,0.8,1.83,0.72,0.32,1.11,1.67,4.93,2.07,3.1,0,28%,1.27,62%,86%,10.42,0,0.32,2.07,0.16
,  ,Pavol Kiss,Not for Sale,2,101,Optibet Virsliga,,,,5.41,0.34,63,3%,"1,048.00",0.34,,0.23,0.09,0.23,0.09,41%,1.63,0,30%,1.12,0.34,31%,4,13.1km,1.63,31.69,27.57,11.34,15.97,1.63,0.77,2.49,1.03,0.26,0.69,1.46,12.45,1.55,1.8,0,30%,1.2,82%,87%,8.59,0,0.43,1.55,0.34
,  ,Tómas Eyjólfsson,£45K  £140K,1.64,82,Icelandic Premier Division,,,,4.46,0.12,38,,,0.42,,0.22,,0.22,0.1,50%,1.17,0,25%,6.69,0.94,14%,1,12.7km,1.17,32.39,26.87,9.5,14.9,1.29,0.59,2.11,1.06,0.47,1.17,1.29,13.38,0.82,1.76,0,26%,0.94,100%,83%,9.04,0,0.59,0.82,0.23
,  ,Guðjón Frímann Sturluson,£24K  £75K,1.67,84,Icelandic Premier Division,,,,5.72,0,70,5%,"1,102.00",0.27,,0.18,0.08,0.18,0.1,38%,1.31,0,,2.78,0.16,6%,0,12.3km,1.63,30.79,26.13,8.09,17.72,1.8,0.49,1.72,0.65,0.41,0.98,1.88,12.9,0.9,1.23,0,23%,0.41,42%,85%,7.6,0,0.98,0.9,0.16
,  ,Vilhjálmur Egill Steinarsson,£70K  £220K,2.09,103,Icelandic Premier Division,,,,3.85,0.1,38,14%,888,0.26,,0.09,0.1,0.09,0.12,43%,0.51,0.2,12%,5.98,1.11,19%,1,12.2km,0.51,43.58,38.51,11.55,12.26,3.65,0.2,0.71,0.3,0.3,0.81,2.13,16.72,1.82,2.74,0,13%,1.52,71%,88%,10.74,0,0.3,1.82,0.41
,  ,Gylfi Halldórsson,£0,1.58,74,Icelandic Premier Division,,,,4.87,0.2,49,30%,302,0.06,,0.13,0.3,0.13,0.14,50%,0.89,0,15%,1.49,0.2,13%,2,12.9km,0.7,33.18,27.91,10.93,19.17,2.19,0.3,0.99,0.5,0.2,0.89,1.29,9.64,1.29,2.28,0,18%,1.89,90%,84%,9.44,0,0.1,2.28,
Yth,  ,Jón Guðmundsson,£0,0.6,40,Icelandic Premier Division,,,,6.61,0,51,18%,347,0.09,,0.19,0.26,0.19,0.13,36%,1.82,0.26,,0.78,0,0%,0,13.1km,1.17,31.51,26.97,8.56,27.49,1.69,0.39,1.43,0.52,0.26,0.65,1.69,3.11,0.78,1.56,0,27%,1.17,90%,86%,7.13,0,0.13,0.91,0.13
,  ,Korel Shacham,£12K  £35K,1.42,77,Icelandic Premier Division,,,,3.67,0.08,44,33%,540,0.27,,0.02,0.17,0.02,0.05,33%,1.42,0.08,16%,0.5,0.08,17%,1,11.8km,0.75,51.33,45.75,8.25,7.92,4.33,0.25,0.5,0.17,0.17,0.83,0.75,11,1.08,2.5,0,39%,1.92,88%,89%,9,0,0.42,1.08,0.33
,  ,Magnús Sveinsson,£65K  £190K,1.08,96,Icelandic Premier Division,,,,5.9,1.7,52,,,0.05,,0.34,,0.34,0.19,31%,1.25,0,30%,5.67,1.7,30%,15,12.4km,3.52,36.66,31.32,12.03,18.95,2.61,0.45,1.82,0.57,,0.45,0.79,1.93,1.25,3.63,0,21%,2.5,92%,85%,12.71,0,,1.25,0.11
,  ,Slaviša Kovačević,£40K  £120K,1.75,93,Icelandic Premier Division,,,,6.8,0.09,73,20%,193.2,0.24,,0.27,0.47,0.27,0.12,36%,2.61,0,11%,0.84,0.09,11%,1,12.0km,1.58,34.01,30.19,9.22,14.63,1.68,0.47,2.33,0.84,0.37,0.75,1.21,13.79,1.3,2.42,0,38%,0.56,38%,89%,9.6,0,0.56,1.3,
,  ,Kjartan Erlendsson,£16K  £50K,1.44,85,Icelandic Premier Division,,,,6.28,0.22,87,7%,"1,247.00",0.09,,0.09,0.07,0.09,0.09,14%,1.95,0,23%,0.94,0.22,23%,3,13.7km,1.73,31.97,27.14,10.25,18.69,2.17,0.14,1.01,0.14,0.14,0.65,1.66,11.11,1.15,2.6,0,31%,1.23,71%,85%,9.02,0,0.07,1.15,0.07
,  ,Leonardo Caputo,£200K  £600K,1.4,102,Finnish Premier League,,,,3.7,0.24,31,13%,754,0.2,,0.09,0.12,0.09,0.09,25%,1.91,0.12,28%,6.21,0.84,13%,2,12.1km,1.19,43.21,38.08,10.15,12.77,4.89,0.48,0.95,0.24,0.48,1.43,1.55,11.22,1.67,2.63,0,52%,1.79,79%,88%,10.27,0.24,0.48,2.03,
Wnt,  ,Petri Laakso,£400K  £1.2M,2.58,116,Finnish Premier League,,,,5.81,0.19,60,23%,186,0.24,,0.2,0.48,0.2,0.09,64%,1.26,0,22%,0.87,0.19,22%,2,12.8km,1.26,30,25.65,14.13,13.06,2.13,0.58,2.13,1.35,0.29,0.58,1.74,13.74,1.74,2.32,0,22%,1.35,82%,85%,11.13,0,0.39,1.74,0.68
,  ,Pedro Carvalho,£30K  £90K,1.05,91,Finnish Premier League,,,,4.99,0.26,39,22%,351.5,0.1,,0.1,0.26,0.1,0.09,56%,1.02,0.13,25%,6.66,0.64,10%,2,12.1km,0.51,44.3,39.17,7.04,13.44,3.97,0.26,1.15,0.64,0.26,1.02,1.15,10.5,1.54,2.69,0,21%,1.15,64%,88%,9.22,0,,1.54,0.13
,  ,Atte Kinnunen,£475K  £1.4M,2.44,114,Finnish Premier League,,,,7.52,0.07,115,29%,137.7,0.12,,0.25,0.65,0.25,0.11,59%,1.11,0,12%,1.63,0.13,8%,1,12.2km,0.92,25.75,21.83,8.3,15.36,1.31,0.59,2.22,1.31,0.26,0.78,1.37,6.14,0.98,1.63,0,15%,1.11,63%,85%,7.78,0.07,0.33,0.98,0.13
,  ,Dimitris Tzimas,£200K  £600K,0.27,98,Finnish Premier League,,,,5.56,0.98,51,,,0.16,,0.08,,0.08,0.08,44%,1.85,0,29%,3.38,0.98,29%,9,11.6km,2.62,33.93,27.27,11.24,20.95,3.05,0.11,0.98,0.44,0.44,1.09,1.85,4.91,1.53,2.4,0,33%,1.85,81%,80%,11.89,0,0.22,1.53,
Unh,  ,Jesse Hardijk,£250K  £750K,1.85,109,Finnish Premier League,,,,10.24,0.1,99,10%,290,0.09,,0.31,0.31,0.31,0.1,52%,4.24,0.1,16%,2.9,0.41,14%,1,11.1km,1.55,22.34,17.79,6.62,16.34,0.83,0.83,3.21,1.66,0.21,0.93,1.45,2.07,0.72,0.93,0,41%,0.62,75%,80%,7.66,0,0.41,0.72,
,  ,Joonas Nousiainen,£120K  £375K,1.55,108,Finnish Premier League,,,,8.58,0,75,9%,262.33,0.19,,0.19,0.34,0.19,0.05,31%,2.17,0,,0.34,0,0%,0,11.2km,1.03,20.81,18.41,6.18,16.47,0.69,1.49,4,1.26,0.23,0.57,1.03,2.97,0.57,1.72,0,25%,1.26,73%,88%,6.29,0,0.46,1.14,
Unh,  ,Daniel Korhonen,£210K  £650K,1,100,Finnish Premier League,,,,4.19,0.08,50,23%,214.6,0.21,,0.22,0.42,0.22,0.12,36%,0.67,0,4%,1.76,0.08,5%,1,11.9km,2.6,31.29,26.59,12.41,16.1,1.59,0.5,1.85,0.67,0.42,1.17,2.6,7.05,0.84,2.35,0,16%,1.59,76%,85%,10.99,0,0.25,0.84,0.34
Wnt,  ,Artem Oleinik,£50K  £150K,0.77,100,Belarusian Highest League,,,,2.73,0.38,29,11%,956,0.23,,0.09,0.09,0.09,0.1,22%,0.66,0.19,50%,0.75,0.38,50%,4,12.9km,0.38,44.91,38.69,11.01,9.88,3.86,0.19,0.85,0.19,0.19,0.94,1.88,12.9,1.13,3.29,0,24%,2.07,76%,86%,9.23,0.09,0.38,1.13,0.09
U20,  ,Michael Bauer,£18K  £55K,1.92,79,Finnish Premier League,,,,4.67,0.19,48,25%,462.5,0.24,,0.08,0.19,0.08,0.1,38%,2.63,0,25%,0.78,0.19,25%,2,11.2km,0.49,44.37,39.89,6.52,12.55,3.31,0.19,0.78,0.29,0.29,0.78,1.46,8.95,1.36,2.63,0,56%,1.95,95%,90%,9.34,0,0.49,1.36,0.39
,  ,Artem Likhtin,£22K  £65K,1.12,100,Belarusian Highest League,,,,6.1,0.09,71,9%,524,0.13,,0.21,0.17,0.21,0.11,32%,2.23,0,12%,0.69,0.09,13%,1,12.7km,1.46,30.74,26.62,10.31,16.49,1.72,0.77,1.89,0.6,0.26,0.69,1.89,11.34,0.69,2.06,0,37%,1.8,91%,87%,9.79,0.09,0.09,0.69,
,  ,Tiago Rocha,£240K  £700K,1.36,101,Finnish Premier League,,,,3.22,0.2,33,,,0.31,,0.01,,0.01,0.03,0%,0.78,0.1,25%,0.78,0.2,25%,2,11.5km,0.88,45.29,41.97,8.59,11.52,3.9,0.2,0.39,0,0.2,0.88,1.46,13.18,1.66,2.15,0,24%,1.56,84%,93%,10.15,0.1,0.2,1.66,0.29
,  ,Anton Burko,£45K  £140K,1.67,92,Belarusian Highest League,,,,3.45,0,36,,,0.05,,0.18,,0.18,0.15,31%,0.77,0,,0.48,0,0%,0,11.9km,1.44,44.38,39.39,7,12.84,3.93,0.29,1.25,0.38,0.58,1.44,1.53,11.98,1.82,2.78,0,22%,1.53,94%,89%,9.78,0.1,0.38,3.45,0.19
,  ,Alexandr Yurgel,£12K  £40K,1.38,86,Belarusian Highest League,,,,5.9,0.88,74,,,0.09,,0,,0,0.01,50%,3.99,0.24,11%,7.34,0.88,12%,11,13.4km,2.15,44.04,37.74,14.44,14.6,2.95,0.16,0.16,0.08,0.56,1.36,2.79,11.57,1.12,2.31,0.08,68%,2.47,89%,86%,10.21,0.16,0.16,1.12,
Inj,  ,Anton Antilevskiy,£28K  £80K,1.35,91,Belarusian Highest League,,,,5.08,0.14,37,9%,655,0.08,,0.14,0.14,0.14,0.09,27%,0.96,0,14%,4.26,0.82,19%,1,12.7km,1.92,32.7,27.89,9.21,17.18,1.37,0.55,1.51,0.41,0.27,1.1,2.2,10.72,0.96,2.89,0,19%,1.65,86%,85%,9.89,0,0.14,0.96,0.14
,  ,Andrey Makarov,£70K  £210K,1.31,105,Belarusian Highest League,,,,3.48,0.07,52,23%,447.67,0.26,,0.08,0.2,0.08,0.1,54%,0.6,0.13,7%,3.55,0.2,6%,1,12.5km,0.67,42.82,37.93,10.52,15.15,2.75,0.47,0.87,0.47,0.47,1.07,1.74,11.73,1.34,2.55,0,17%,1.61,75%,89%,10.59,0.13,0.54,1.41,0.07
,  ,Nikita Marichev,£35K  £110K,1.5,91,Belarusian Highest League,,,,7.24,0.09,80,7%,497.5,0.16,,0.38,0.18,0.38,0.16,37%,2.8,0,9%,3.26,0.09,3%,1,12.4km,1.09,32.56,26.77,10.13,17.28,2.44,0.54,2.44,0.9,0.09,0.36,1.36,10.94,1.63,2.53,0,39%,1.9,100%,82%,10.58,0,0.81,1.63,0.18
,  ,Vitaliy Mosichev,£20K  £60K,1.07,92,Belarusian Highest League,,,,3.96,0.16,49,16%,371.67,0.28,,0.2,0.24,0.2,0.13,53%,0.89,0,25%,0.65,0.16,25%,2,11.7km,1.61,44.31,39.23,7.1,16.3,2.66,0.32,1.53,0.81,0.57,1.13,1.7,11.38,1.05,2.34,0,22%,1.29,80%,89%,10.98,0.08,0.16,1.05,0.08
,  ,Ruslan Myalkovskiy,Not for Sale,0.77,92,Belarusian Highest League,,,,6.01,0.58,73,9%,547,0.12,,0.27,0.16,0.27,0.14,17%,0.99,0,28%,2.06,0.58,28%,7,12.2km,2.06,33.56,28.55,9.95,14.15,1.48,0.49,1.89,0.33,0.49,0.99,1.4,8.39,0.99,2.39,0,16%,1.23,88%,85%,9.05,0,0.41,0.99,0.08
,  ,Konstantin Dyatlov,£24K  £70K,1.06,93,Belarusian Highest League,,,,9.76,0.14,142,10%,654.5,0.2,,0.13,0.14,0.13,0.09,62%,1.86,0.07,18%,0.76,0.14,18%,2,11.8km,1.38,23.51,20.49,6.6,17.53,0.48,0.48,1.44,0.89,0.07,0.55,1.03,2.27,0.55,1.51,0,19%,0.83,75%,87%,6.46,0,0.69,1.79,0.21
,  ,Tobias Hultman,£100K  £300K,1,94,Finnish Premier League,,,,3.26,0.35,37,20%,511.5,0.2,,0.17,0.18,0.17,0.19,40%,1.06,0,36%,1.94,0.35,18%,4,11.4km,1.32,43.64,36.95,7.3,15.92,3.52,0,0.88,0.35,0.53,0.97,1.41,13.55,1.23,3.08,0,32%,1.76,77%,85%,10.91,0.09,0.88,2.11,0.26
,  ,Sergey Novik,£10K  £30K,1.67,95,Belarusian Highest League,,,,5.21,0.09,57,,,0.34,,0.03,,0.03,0.09,0%,2.47,0.46,6%,1.46,0.09,6%,1,12.1km,1.74,44.04,39.29,8.95,13.07,3.02,0.18,0.37,0,0.37,0.73,1.55,10.87,1.01,3.29,0,47%,2.19,96%,89%,11.51,0,0.27,1.01,
,  ,Andrey Vysotskiy,£65K  £200K,1.41,101,Belarusian Highest League,,,,7.01,0.07,103,12%,330.75,0.19,,0.27,0.27,0.27,0.12,48%,2.24,0.07,5%,1.16,0.07,6%,1,12.5km,1.36,30.41,27.96,9.59,14.56,1.97,0.41,2.24,1.09,0.27,0.48,1.43,14.01,1.22,1.97,0,32%,1.29,86%,92%,9.25,0,0.41,1.22,0.27
,  ,Egor Boltrushevich,£95K  £275K,1.15,95,Belarusian Highest League,,,,7.22,0.17,87,12%,542.5,0.17,,0.15,0.17,0.15,0.11,29%,2.57,0,22%,0.75,0.17,22%,2,12.9km,1.58,32.27,26.96,10.78,13.77,1.66,0.58,1.41,0.41,0.33,0.41,1.24,16.92,0.83,2.24,0,36%,1.41,94%,84%,9.54,0,0.5,1,0.17
,  ,Juha Laine,£275K  £800K,1.25,104,Finnish Premier League,,,,3.85,0.43,36,7%,841,0.13,,0.29,0.11,0.29,0.18,53%,1.82,0,44%,7.28,0.75,10%,4,12.3km,1.28,46.55,38.42,8.99,13.91,3.32,0.64,1.61,0.86,0.43,0.43,1.82,12.73,1.28,1.93,0,47%,1.28,80%,83%,10.17,0,0.54,2.78,0.21
Lst,  ,Réginald Langlais,£8K,1.55,96,Finnish Premier League,,,,3.76,0.1,39,,,0.11,,0.11,,0.11,0.1,8%,0.67,0,11%,4.82,0.19,4%,1,11.5km,1.73,44.42,39.8,7.32,15.71,3.57,0.39,1.16,0.1,0.58,0.58,1.25,13.2,1.06,2.79,0,18%,1.45,79%,90%,11.37,0,0.29,1.64,0.39
Int,  ,Oscar Morales,£160K  £500K,1.38,96,Belarusian Highest League,,,,4.11,0.11,39,,,0.07,,0.13,,0.13,0.14,22%,0.53,0.11,16%,5.06,0.42,8%,1,12.1km,1.16,45.21,39.63,8.33,15.07,4.11,0.32,0.95,0.21,0.42,0.95,1.69,14.54,2,3.37,0,13%,1.05,67%,88%,10.85,0,,2,
,  ,Vyacheslav Alexandrovich,Not for Sale,1.29,96,Belarusian Highest League,,,,6.54,0,68,7%,468,0.16,,0.31,0.19,0.31,0.11,41%,2.12,0,,0.67,0,0%,0,11.7km,1.06,30.48,25,7.6,13.94,1.92,0.48,2.79,1.15,0.19,0.87,0.77,9.33,1.25,1.63,0,32%,0.67,70%,82%,8.65,0,0.1,3.08,0.19
Opt,  ,Lewis Sharp,£1K  £2.5K,1.03,85,Sports Direct Premiership,,,,5.77,0.09,184,7%,717.75,0.11,,0.25,0.13,0.25,0.13,35%,1.16,0.03,9%,1.6,0.19,12%,3,13.3km,1.69,32.7,27.4,9.81,18.87,2.29,0.63,1.88,0.66,0.25,0.85,1.47,11.5,1.29,1.91,0,20%,1.1,73%,84%,8.81,0,0.16,2.04,0.06
,  ,Ludovic Cretin,£1K  £2.5K,1.51,79,Sports Direct Premiership,,,,3.85,0.1,115,16%,895.67,0.18,,0.11,0.1,0.11,0.17,37%,1.31,0.03,16%,0.6,0.1,17%,3,12.0km,0.94,44.15,37.21,8.11,12.9,3.92,0.3,0.64,0.23,0.57,1.31,1.67,13.36,1.47,2.95,0,34%,1.74,85%,84%,10.12,0.07,0.33,1.47,0.13
,  ,Gavin Galbraith,£1.5K  £4K,1.72,78,Sports Direct Premiership,,,,3.84,0.09,127,13%,993,0.22,,0.08,0.09,0.08,0.11,46%,0.94,0.03,10%,0.88,0.09,10%,3,12.1km,1.33,45.5,40,8.46,14.53,3.69,0.27,0.73,0.33,0.39,0.85,1.39,12.57,1.6,2.87,0,24%,1.57,79%,88%,11.48,0.06,0.24,1.6,0.36
,  ,Mark Dalglish,£85K  £250K,1.44,96,Sports Direct Premiership,,,,6.63,0.15,261,12%,506.14,0.28,,0.18,0.18,0.18,0.12,40%,1.22,0.05,15%,0.99,0.15,15%,6,12.4km,1.47,32.44,28.2,9.88,16.92,2.01,0.46,1.47,0.58,0.18,1.04,1.37,11.58,1.52,2.08,0,18%,1.12,71%,87%,9.78,0.03,0.33,2.01,0.25
