Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
Inj,  ,Ilez Petrov,£55K  £170K,1.36,88,Icelandic Premier Division,,,,6.64,0.83,72,17%,488,0.13,,0.13,0.18,0.13,0.12,33%,1.48,0,21%,3.78,0.83,22%,9,12.5km,2.31,29.88,25.27,12.45,17.61,1.84,0.37,1.11,0.37,0.46,0.83,2.58,5.26,1.2,1.94,0,22%,1.75,95%,85%,10.79,0,0.18,1.2,
,  ,Steinar Þórisson,£40K  £130K,0.91,86,Icelandic Premier Division,,,,4.81,0.36,53,,,0.08,,0.01,,0.01,0.04,50%,2.36,0.27,20%,1.81,0.36,20%,4,13.0km,1.36,46.36,37.92,14.52,13.25,5.35,0.09,0.18,0.09,0.64,1.09,2.81,9.89,0.54,2.45,0.18,49%,2,73%,82%,7.53,0.18,,0.54,
,  ,Birkir Reynisson,£35K  £110K,1.7,84,Icelandic Premier Division,,,,4.53,0.21,44,,,0.03,,0.02,,0.02,0.1,0%,2.47,0.21,7%,2.88,0.21,7%,2,12.2km,1.13,44.79,36.45,13.49,14.31,4.74,0.1,0.21,0,1.13,1.65,2.37,10.5,0.82,2.16,0.1,55%,2.27,85%,81%,7.83,0,0.21,0.82,
Wnt,  ,Marvin Tournadre,£120K  £350K,1.85,110,Icelandic Premier Division,,,,3.91,0.45,35,67%,403,0.08,,0.03,0.22,0.03,0.1,100%,1.34,0.11,11%,4.02,0.45,11%,4,13.1km,2.23,35.62,29.37,15.74,16.53,3.68,0,0.33,0.33,0.22,1,2.79,7.03,1.34,2.57,0,34%,1.67,65%,82%,12.51,0,0.22,1.34,
Wnt,  ,Tomas Fila,£22K  £65K,2.2,85,Icelandic Premier Division,,,,6.77,0.51,40,,,0.16,,0.3,,0.3,0.22,13%,3.55,0.34,20%,2.54,0.51,20%,3,11.8km,0.85,45.68,38.23,10.49,11.17,4.91,0.34,1.35,0.17,0.68,1.18,2.2,14.38,1.18,2.2,0.34,53%,2.37,100%,84%,6.77,0.34,0.17,1.18,
Wnt,  ,Garðar Gunnar Teitsson,£65K  £200K,1.27,98,Icelandic Premier Division,,,,5.61,0.28,60,,,0.03,,0.1,,0.1,0.17,33%,2.43,0.28,30%,0.94,0.28,30%,3,12.9km,0.28,51.64,44.72,11.41,6.83,4.21,0.37,0.56,0.19,0.56,1.31,1.03,16.19,1.4,2.25,0,43%,2.15,92%,87%,9.45,0,0.19,1.4,0.19
,  ,Hektor Jónsson,£40K  £120K,1.9,86,Icelandic Premier Division,,,,6.9,1.03,60,,,0.01,,0,,0,0.01,0%,2.53,0.57,20%,5.17,1.03,20%,9,12.0km,1.38,39.66,33.91,12.07,10.69,3.68,0,0.11,0,0.46,1.26,2.07,11.15,1.72,1.72,0.11,37%,1.49,68%,86%,9.89,0,,1.72,
Wnt,  ,Mateusz Wawrzyniak,£8K  £24K,1.46,78,Icelandic Premier Division,,,,5.92,1,77,,,0.07,,0.07,,0.07,0.19,40%,2.69,0.31,28%,3.46,1,29%,13,12.0km,1.15,38.92,33.69,10.23,15.23,4.08,0.08,0.38,0.15,0.46,0.77,1,9.69,1.23,3.31,0.08,45%,2,65%,87%,9.85,0.08,0.23,1.23,0.23
,  ,Marko Rebernik,Not for Sale,1.38,83,Icelandic Premier Division,,,,6.44,0.65,69,20%,241.25,0.26,,0.26,0.37,0.26,0.14,70%,3.36,0.09,10%,11.1,1.12,10%,7,11.3km,2.24,34.23,29.47,10.45,18.93,2.61,0.56,1.87,1.31,0.28,1.4,1.4,5.22,1.77,2.98,0,52%,2.24,80%,86%,10.91,0,0.19,1.77,0.28
,  ,Bragi Þór Þorsteinsson,Not for Sale,1.82,86,Icelandic Premier Division,,,,4.99,0.18,56,7%,"1,011.00",0.03,,0.14,0.09,0.14,0.11,14%,2.85,0.27,6%,2.67,0.18,7%,2,11.7km,1.25,46.29,42.11,14.24,10.24,5.52,0.36,1.25,0.18,0.98,1.78,2.14,15.04,0.71,1.78,0.53,57%,1.69,83%,91%,6.41,0.09,,0.71,
,  ,Vladislav Tsevan,£18K  £50K,1.42,92,Belarusian Highest League,,,,6.03,0.59,72,,,0.06,,0,,0,0.01,0%,3.44,0.25,20%,2.93,0.59,20%,7,13.0km,1.17,44.25,35.53,15.59,13.66,6.12,0.08,0.08,0,0.5,1.51,2.26,15.67,1.34,2.6,0.59,57%,2.35,88%,80%,8.04,0.34,0.08,1.34,0.17
,  ,Alexandr Grigorjev,£16K  £45K,1.25,101,Belarusian Highest League,,,,4.36,0.25,52,,,0.12,,0.02,,0.02,0.09,0%,2.43,0.08,12%,2.09,0.25,12%,3,12.4km,0.92,45.42,36.45,14.08,14.75,5.28,0,0.25,0,0.75,1.93,1.84,16.34,1.42,2.01,0.75,56%,1.26,50%,80%,7.88,0.08,0.25,1.42,0.08
,  ,Fatogoma Coulibaly,£45K  £140K,1.87,90,Belarusian Highest League,,,,7.98,0.44,110,13%,"1,240.00",0.05,,0.09,0.07,0.09,0.16,13%,5.88,1.02,10%,3.99,0.44,11%,6,11.5km,0.73,44.27,36.29,10.23,12.99,4.5,0.15,0.58,0.07,0.8,1.67,1.67,10.02,0.8,1.96,0.22,74%,1.96,75%,82%,5.59,0.15,,0.8,0.15
,  ,Andrey Kozlov,£65K  £200K,1.25,99,Belarusian Highest League,,,,6.38,0.44,102,,,0.13,,0,,0,0,0%,4.19,0.75,11%,3.75,0.44,12%,7,12.5km,1.25,46.25,39.94,14.19,12.88,5.62,0.06,0.06,0,0.75,1.5,2.38,12.69,0.94,2,0.31,66%,2.06,89%,86%,7.88,0,0.31,0.94,0.12
,  ,Kemar Mitchell,£16K  £45K,1.5,79,JD Cymru Premier,,,,4.88,0.26,131,9%,"2,417.00",0.19,,0.05,0.04,0.05,0.11,27%,2.42,0.45,9%,2.68,0.26,10%,7,12.3km,0.89,45.58,39.28,13.55,13.07,6,0.15,0.41,0.11,0.63,1.6,2.16,13.26,1.19,2.49,0.11,50%,2.83,92%,86%,7.45,0.07,0.34,1.19,0.11
Inj,  ,Dory Waldon,£5K  £14K,2.06,106,JD Cymru Premier,,,,4.15,0.3,126,6%,910,0.12,,0.19,0.1,0.19,0.11,18%,2.18,0.13,15%,2.24,0.33,15%,9,12.2km,0.79,45.99,40.35,17.97,9.36,5.04,0.36,1.68,0.3,0.46,1.09,2.57,13.45,0.89,2.08,0.33,52%,2.08,78%,88%,7.95,0.07,0.03,0.89,0.1
,  ,Lukas Mogg,£9K  £26K,1.95,103,JD Cymru Premier,,,,4.08,0.57,165,17%,"3,641.00",0.08,,0.01,0.02,0.01,0.08,67%,1.73,0.17,19%,2.87,0.57,20%,23,12.8km,1.16,46.27,40.29,15.89,13.89,5.34,0.02,0.15,0.1,0.72,1.14,2.5,11.59,0.94,2.52,0.27,42%,2.97,86%,87%,8.33,0.17,0.1,0.94,0.05
,  ,Gethin Jones,£0,0.48,49,JD Cymru Premier,,,,6.34,0.47,177,,,0.04,,0.02,,0.02,0.07,29%,3.98,0.54,14%,3.12,0.47,15%,13,12.0km,0.36,47.56,39.14,13.18,15.36,5.77,0.11,0.25,0.07,1,2.11,1.93,4.55,1.18,2.22,0.11,63%,2.54,85%,82%,7.2,0.18,0.04,1.18,0.07
,  ,Iwan Connolly,£0,1.18,62,JD Cymru Premier,,,,5.24,0.24,110,,,0.08,,0.06,,0.06,0.39,0%,3.09,0.38,9%,2.57,0.24,9%,5,12.0km,0.43,45.12,38.03,13.47,16.9,4.47,0,0.14,0,0.76,1.48,2.33,10.52,0.9,1.86,0.38,59%,2.19,85%,84%,7.33,0.24,0.19,0.9,0.14
,  ,Ronnie Gayle,£7K  £22K,0.1,54,Gibraltar Football League,,,,3.61,0.92,67,,,0.04,,0,,0,0,,1.62,0.05,14%,6.2,0.92,15%,17,12.9km,1.46,35.27,29.93,12.08,19.79,3.51,0,,,0.92,1.24,2.43,5.45,1.19,2.53,0.05,45%,2.64,92%,85%,9.87,0.16,0.11,1.19,0.11
,  ,Lukas Wagner,£18K  £55K,1.48,97,Gibraltar Football League,,,,5.34,1.24,99,,,0.07,,0.01,,0.01,0.06,0%,3.13,0.49,15%,8.03,1.24,15%,23,13.0km,1.13,33.92,29.44,13.48,14.34,3.67,0.05,0.11,0,0.65,1.62,2.26,13.16,1.73,2.64,0.11,59%,2.21,87%,87%,11.32,0.11,0.22,1.73,0.16
,  ,Alex Bowat,£100K  £300K,1.62,100,Gibraltar Football League,,,,3.34,0.8,71,,,0.1,,0.01,,0.01,0.06,50%,1.08,0,12%,6.34,0.8,13%,17,12.9km,2.02,34.01,28.04,15.41,14.7,3.15,0.05,0.09,0.05,0.66,1.55,2.72,10.19,1.03,2.44,0.09,32%,1.97,76%,82%,12.17,0.14,0.19,1.03,0.09
,  ,Sean Perales,£3K  £9K,0.12,44,Gibraltar Football League,,,,3.76,1.12,64,,,0.05,,0,,0,0.01,0%,1.35,0.18,14%,8,1.12,14%,19,12.8km,1.24,35.53,29.12,13.88,17.53,3.59,0.06,0.06,0,0.65,1.82,2.47,6.94,1.24,2.29,0.82,36%,2.12,84%,82%,9.24,0.12,0.12,1.24,0.06
Wnt,  ,Lukas Achtzehn,£325K  £950K,1.68,106,Gibraltar Football League,,,,4.39,0.32,82,,,0.05,,0.01,,0.01,0.12,0%,1.98,0.05,11%,2.83,0.32,11%,6,12.5km,0.91,47.06,40.27,14.28,14.87,5.61,0,0.11,0,0.96,1.28,1.87,14.71,0.91,2.14,0.7,45%,2.83,76%,86%,8.82,0.11,,0.91,0.11
,  ,Federico Di Benedetto,£50K  £150K,0.92,84,Gibraltar Football League,,,,7.83,0,82,,,0,,0,,0,0,,5.54,0.86,,0.19,0,0%,0,11.3km,,51.35,42.28,5.73,4.58,4.1,0,,,0.76,2.29,1.05,16.51,0.29,0.76,0.67,71%,0.48,63%,82%,2.77,0.1,0.1,0.29,
,  ,Maxime Moreau,£40K  £120K,0.95,84,Gibraltar Football League,,,,4.81,0.2,94,,,0.06,,0.01,,0.01,0.14,0%,2.66,0.36,10%,2,0.2,10%,4,12.4km,0.61,45.23,38.07,13.51,15.55,4.55,0.05,0.1,0,0.92,1.33,1.94,14.89,0.92,1.94,0.56,55%,2.15,84%,84%,7.78,0.2,0.1,0.92,0.15
,  ,Norbert Gábor Feczesin,£1.5K  £5K,1.6,89,Gibraltar Football League,,,,6.69,0.97,131,,,0.09,,0.02,,0.02,0.16,0%,4.8,0.77,15%,6.38,0.97,15%,19,12.8km,1.58,38.8,32.37,13.58,19.19,3.52,0.05,0.15,0,0.41,1.38,2.35,9.7,1.38,2.71,0.1,72%,2.09,77%,83%,11.23,0.05,0.15,1.38,0.05
Wnt,  ,Park SangHyuk,£240K  £750K,1.26,108,Gibraltar Football League,,,,4.23,0.38,79,,,0.05,,0.03,,0.03,0.08,17%,1.02,0.16,11%,3.22,0.38,12%,7,13.1km,1.18,48.08,40.74,17.58,14.85,6.22,0.11,0.32,0.05,0.64,1.18,2.41,11.36,1.34,2.79,0.16,24%,2.84,85%,85%,8.42,0.11,0.21,1.34,
Lst,  ,Carrick Mullis,£0,1.27,100,Gibraltar Football League,,,,5.21,0.52,111,,,0.05,,0.01,,0.01,0.05,0%,3.24,0.23,18%,2.86,0.52,18%,11,12.3km,1.22,46.95,42.49,14.45,14.73,5.82,0.14,0.19,0,0.75,1.45,2.25,12.38,1.03,2.58,0.14,62%,3.05,79%,91%,8.82,0.14,0.14,1.03,0.09
,  ,Carlos Varela,£10K  £30K,1.5,90,Gibraltar Football League,,,,6.73,1.18,166,,,0.03,,0.01,,0.01,0.05,0%,4.5,0.32,18%,6.33,1.18,19%,29,12.9km,2.15,37.64,32.61,12.86,14.97,3.37,0.08,0.12,0,0.69,1.58,3.53,9.69,1.58,2.47,0.04,67%,2.27,90%,87%,10.5,0.16,0.08,1.58,
,  ,Mark McKenna,£130K  £375K,1.27,99,Gibraltar Football League,,,,4.11,1.15,50,,,0.11,,0.02,,0.02,0.14,0%,2.14,0.08,18%,6.25,1.15,18%,14,13.1km,2.22,36.61,30.93,15.63,16.7,3.04,0.08,0.16,0,0.58,1.07,2.63,12.67,0.9,2.88,0.9,52%,2.47,70%,84%,12.92,0.16,0.25,0.9,0.16
,  ,Dominik Krzemień,£85K  £250K,1.53,91,Gibraltar Football League,,,,5.11,0.14,71,,,0.1,,0.13,,0.13,0.11,19%,2.66,0.29,3%,4.03,0.14,4%,2,12.8km,0.72,44.75,38.35,16.4,13.6,4.82,0.14,1.15,0.22,0.36,1.51,2.23,11.73,1.29,3.38,0.29,52%,2.52,67%,86%,6.62,0.22,,1.29,0.07
,  ,Chris Wright,£18K  £55K,1.4,100,Gibraltar Football League,,,,4.17,0,53,,,0.04,,0.04,,0.04,0.08,33%,2.44,0.16,,1.65,0,0%,0,11.8km,1.02,48.58,43.31,11.48,11.63,5.03,0.31,0.47,0.16,0.86,0.94,2.59,10.61,0.79,1.89,0.47,58%,1.89,75%,89%,7.15,0.08,0.16,0.79,0.08
,  ,Mark Munro,£60K  £190K,1.47,99,Gibraltar Football League,,,,5.23,0.28,150,8%,"2,583.00",0.07,,0.05,0.03,0.05,0.12,42%,2.44,0.14,10%,2.54,0.28,11%,8,12.6km,1.64,44.74,37.25,16.13,15.68,4.81,0.14,0.42,0.17,0.59,1.6,2.33,10,0.94,2.3,0.31,47%,2.3,81%,83%,7.18,0.17,0.03,0.94,0.07
,  ,Miroslav Žák,£220K  £650K,1.67,97,Finnish Premier League,,,,6.92,0.67,83,,,0.11,,0.03,,0.03,0.06,0%,4.08,0.5,20%,3.33,0.67,20%,8,13.3km,0.92,44.83,37.5,16.58,15,4.5,0.17,0.5,0,0.83,1.17,1.92,17.67,1.08,2.58,0.92,59%,2.17,67%,84%,7.42,0.33,0.25,1.08,0.17
,  ,Sander Bekkerud,£8K  £22K,1.95,88,Finnish Premier League,,,,6.79,0.63,43,,,0.07,,0.02,,0.02,0.07,0%,3,0,12%,5.05,0.63,13%,4,12.6km,2.53,32.68,27.95,13.58,10.74,3.32,0.16,0.32,0,0.79,1.11,1.42,7.11,1.11,4.26,0,44%,3,90%,86%,10.58,0,0.32,1.11,
,  ,Serhiy Vasin,£28K  £85K,0.77,89,Finnish Premier League,,,,5.41,1.41,69,,,0.17,,0.06,,0.06,0.13,17%,2.67,0.24,18%,7.85,1.41,18%,18,12.7km,1.65,35,29.03,14.12,16.87,2.67,0.08,0.47,0.08,0.78,1.88,2.9,8.16,1.18,2.75,0.86,49%,2.2,88%,83%,10.36,0.16,0.08,1.18,0.16
Ret,  ,Luka Kolarič,£4.5K  £12K,1.3,84,Finnish Premier League,,,,5.95,0.35,51,,,0.05,,0,,0,0.01,50%,3.5,0.35,12%,2.8,0.35,13%,3,12.1km,0.58,46.28,38.7,12.36,16.67,5.25,0.23,0.23,0.12,0.82,1.75,2.22,13.99,1.52,2.56,0.7,59%,2.56,85%,84%,8.04,0.23,0.12,1.52,0.12
Wnt,  ,Josema,£40K,1.6,95,Slovenian First League,,,,4.45,0.34,26,,,0.06,,0,,0,0,,1.71,0.34,8%,4.11,0.34,8%,2,13.0km,1.03,44.66,36.44,16.6,19.85,3.08,0,,,0.34,1.88,2.05,5.99,0.68,2.22,0.17,38%,1.2,50%,82%,8.04,0.17,,0.68,
,  ,Hugo Mercier,£4K  £12K,2.4,102,Slovenian First League,,,,4.75,0.25,38,,,0.29,,0,,0,0.03,0%,3.12,0.38,9%,2.62,0.25,10%,2,13.1km,1.25,50.25,42.75,14.38,12.62,7.25,0.12,0.12,0,0.62,1.12,1.75,13.25,1.25,1.75,0.12,66%,2,80%,85%,8.88,0,0.25,1.25,
Inj,  ,Oshane Williams,£4.1M  £12.5M,1.34,119,Slovenian First League,,,,4.27,0.25,120,,,0.04,,0.04,,0.04,0.3,25%,2.27,0.28,12%,2.7,0.32,12%,7,13.0km,1.32,43.51,36.72,16.99,11.87,5.15,0.04,0.14,0.04,0.82,1.46,2.84,15.11,1.28,2.24,0.18,53%,2.81,77%,84%,8.99,0.21,0.04,1.28,0.11
Wnt,  ,Miha Golob,£170K  £500K,1.53,107,Slovenian First League,,,,5.23,0.14,75,33%,"1,291.00",0.06,,0.06,0.07,0.06,0.27,33%,3.49,0.63,5%,2.37,0.14,6%,2,12.5km,0.63,46.5,40.02,13.87,14.01,5.09,0,0.21,0.07,0.49,1.32,2.58,14.29,0.98,2.23,0.21,67%,3.07,96%,86%,8.37,0,0.07,0.98,
,  ,Christoph Schwaiger,£40K  £120K,1.07,91,Slovenian First League,,,,4.55,0.38,120,,,0.07,,0.01,,0.01,0.14,0%,2.28,0.19,14%,2.62,0.38,14%,10,12.5km,1.14,47.33,39.67,14.11,19.23,5.69,0.04,0.08,0,0.68,1.33,2.31,9.22,1.02,2.43,0.3,50%,2.65,81%,84%,6.9,0.15,0.04,1.02,0.04
,  ,Denis Shevchenko,£9K  £26K,1.06,95,Russian Premier League,,,,5.18,0.72,152,,,0.12,,0.04,,0.04,0.1,18%,2.56,0.31,17%,4.16,0.72,17%,21,12.5km,0.82,46.28,39.8,14.56,14.26,5.66,0.1,0.38,0.07,0.55,1.19,1.91,11.05,0.92,2.32,1.36,49%,2.8,85%,86%,8.15,0.03,0.17,0.92,0.17
,  ,Alexandr Kondaurov,£1.9M  £5.8M,1.65,119,Russian Premier League,,,,3.7,0.18,84,,,0.12,,0.03,,0.03,0.07,0%,1.1,0.13,14%,1.23,0.18,14%,4,13.0km,0.75,46.94,42.62,12.56,6.61,4.76,0.13,0.4,0,0.44,0.75,1.76,13.27,0.79,3.57,0.31,30%,2.91,80%,91%,10.09,0.13,0.31,0.79,0.09
Wnt,  ,Devis Gentili,£1.7M  £5.2M,1.66,125,Russian Premier League,,,,5.6,0.49,173,3%,"2,782.00",0.09,,0.12,0.03,0.12,0.13,13%,3.53,0.39,20%,2.43,0.49,20%,15,12.8km,0.78,46.2,40.28,18.67,11.61,4.95,0.29,0.97,0.13,0.61,1.16,2.14,13.75,0.74,2.81,0.87,63%,2.75,76%,87%,8.9,0.13,0.16,0.74,0.06
,  ,Evgeny Popov,£2.8M  £8.2M,1.57,124,Russian Premier League,,,,4.69,0.62,122,13%,292.38,0.27,,0.33,0.31,0.3,0.14,48%,0.85,0,19%,3.69,0.62,17%,16,11.6km,2.92,33.48,28.4,14.12,18.85,2.46,0.62,2.39,1.15,0.31,1.08,1.65,5.27,1.39,3.46,0,18%,2.5,90%,85%,12.74,0.04,0.38,2.31,0.31
,  ,Vladislav Nikityanov,£2M  £5.8M,2.17,122,Russian Premier League,,,,4.04,0.26,141,7%,"1,569.00",0.12,,0.09,0.06,0.09,0.11,18%,2.41,0.17,9%,2.81,0.26,9%,9,12.0km,0.8,45.83,39.29,14.71,13.51,5.28,0.29,0.8,0.14,0.46,1.18,1.95,15.46,1.09,2.44,1,60%,2.09,69%,86%,8.35,0.14,0.23,1.09,0.11
Lst,  ,Veljko Filipović,£1.5M,1.31,117,Russian Premier League,,,,5.21,0,81,,,0.07,,0.12,,0.12,0.13,21%,3.22,0.45,,0.19,0,0%,0,13.4km,0.64,48.61,44.42,11.91,6.24,4.89,0.13,0.9,0.19,0.26,0.32,1.22,11.27,0.9,3.03,0.26,62%,2.45,81%,91%,9.59,0.13,0.06,0.9,0.06
,  ,Evgeny Efimov,£1.3M  £3.8M,1.72,116,Russian Premier League,,,,4.81,0.42,136,,,0.08,,0,,0,0.03,0%,3.43,0.39,15%,2.76,0.42,15%,12,12.3km,1.31,47.32,41.02,14.11,17.26,5.94,0,0.04,0,0.6,1.17,2.62,13.16,0.71,2.26,0.46,71%,2.55,88%,87%,8.38,0.04,0.21,0.71,
Lst,  ,Víctor Herrero,£2M,2.14,114,Russian Premier League,,,,4.64,0,49,13%,950,0.15,,0.06,0.09,0.06,0.08,25%,2.56,0,,2.18,0,0%,0,11.8km,1.71,41.78,36.47,13.64,13.07,5.12,0.19,0.76,0.19,1.04,1.14,2.56,7.96,0.95,2.75,0.09,55%,2.46,87%,87%,10.23,0.28,,0.95,0.09
Wnt,  ,Javier Luna,£1.2M  £3.6M,0.68,113,Russian Premier League,,,,4.04,0.45,107,,,0.03,,0.02,,0.02,0.11,20%,1.78,0.11,19%,2.38,0.45,19%,12,12.5km,1.47,46.55,41.07,14.17,15.53,5.63,0,0.19,0.04,0.72,1.06,2.49,11.68,0.87,2.27,0.53,44%,2.27,81%,88%,8.5,0.11,0.08,0.87,
,  ,Joan Ramón Granell,£750K  £2.3M,1.13,113,Russian Premier League,,,,4.19,0.45,121,,,0.05,,0.05,,0.05,0.19,13%,2.49,0.31,17%,2.53,0.45,18%,13,12.1km,0.93,48.12,42.13,13.64,14.57,6.3,0,0.28,0.03,0.76,1.56,2.91,13.47,1.04,2.56,0.24,60%,2.6,77%,88%,9.17,0.14,0.07,1.04,0.03
Wnt,  ,Zbigniew Zalewski,£750K  £2.3M,1,107,Russian Premier League,,,,3.71,0.48,109,,,0.03,,0.04,,0.04,0.11,36%,2.11,0.27,22%,2.35,0.48,20%,14,12.8km,0.85,46.87,41.63,15.59,13.11,5.62,0.1,0.37,0.14,0.75,1.33,2.79,10.52,1.09,2.31,0.44,57%,2.72,80%,89%,8.34,0.17,0.07,1.09,
,  ,Idan Haramati,£650K  £2M,1.97,106,Russian Premier League,,,,4.22,0.3,113,14%,"2,409.00",0.04,,0.03,0.04,0.03,0.13,57%,2.24,0.19,14%,2.09,0.3,14%,8,11.8km,0.78,47.22,40.46,13.23,13.97,5.75,0.07,0.26,0.15,0.6,1.12,1.94,15.35,1.08,3.03,1.05,53%,3.06,84%,86%,8.26,0.15,0.11,1.08,0.04
,  ,Gary Evans,£0,0.92,91,Sports Direct Premiership,,,,4.82,0.33,160,,,0.12,,0.05,,0.05,0.08,22%,2.05,0.09,19%,1.69,0.33,20%,11,11.8km,1.21,44.8,38.81,9.49,15.76,3.31,0.18,0.69,0.15,0.33,0.9,1.39,10.7,0.96,2.8,0,43%,1.84,82%,87%,10.85,0.06,0.3,0.96,0.15
,  ,Aaron Seal,Not for Sale,2.21,112,Sports Direct Premiership,,,,4.17,1.07,211,11%,759.67,0.21,,0.12,0.12,0.12,0.11,27%,1.68,0.1,16%,6.52,1.07,16%,54,12.1km,1.78,31.57,25.06,18.76,11.87,3.38,0.36,1.09,0.3,0.39,0.83,1.6,6.85,1.36,2.96,0,40%,2.47,83%,79%,13.8,0.06,0.39,1.36,0.26
