Inf,Rec,Name,Transfer Value,Pts/Gm,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Aidan Lake,£32M  £95M,1.44,3.22,1.33,0.03,11%,0.66,0.08,12%,3,12.8km,0.89,51.5,45.75,12.97,10.01,3.57,0.08,0.33,0.13,0.33,0.54,1.89,13.2,1.15,2.66,0,41%,1.79,80%,89%,11.26,0.05,0.36,1.15,0.03
,  ,Curtis Morton,£32M  £95M,1.26,2.83,1.07,0.03,30%,3.49,0.77,22%,8,12.7km,1.24,52.76,46.49,11.19,10.56,4.1,0.03,0.19,0.06,0.33,0.66,1.84,14.58,1.62,2.67,0,38%,1.82,80%,88%,11.22,0.06,0.14,1.62,0.11
,  ,Roger Lopez,£31M  £92M,1.67,2.58,0.8,0,25%,0.8,0.21,26%,7,12.9km,1.24,52.11,45.83,12.59,14.28,3.64,0.65,1.57,0.71,0.47,0.53,1.48,13.01,1.75,3.14,0,31%,1.98,78%,88%,11.41,0.03,0.36,1.75,0.15
Wnt,  ,Matthew Dowse,£30M  £89M,1.27,3.49,1.42,0.27,21%,1.22,0.2,17%,5,12.5km,0.81,47.88,41.1,12.33,11.83,3.66,0.27,1.19,0.54,0.27,0.81,1.52,14.67,1.22,3.19,0,41%,1.97,73%,86%,11.49,0.14,0.41,1.46,0.1
Inj,  ,Dario Scalise,£29M  £88M,2.12,3.08,1.33,0.06,11%,1.01,0.12,11%,4,12.7km,1.01,46.87,40.91,11.24,12.82,4.49,0.55,1.21,0.69,0.14,0.58,1.38,13.68,2.36,3.46,0,43%,2.19,72%,87%,10.52,0.14,0.6,2.36,0.37
Int,  ,Lamine N'Diaye,£28M  £83M,1.59,3.44,1.72,0.34,16%,0.69,0.11,17%,3,12.4km,1.26,47.64,42.33,11.23,10.96,4.13,0.27,1.03,0.23,0.34,0.84,1.8,16.81,1.83,3.02,0,50%,1.95,80%,89%,10.93,0.08,0.38,2.52,0.27
Int,  ,Robin Valadié,£28M  £83M,1.57,2.29,0.74,0,11%,0.93,0.12,13%,2,12.8km,1.52,47.62,41.89,12.33,10.22,2.85,0.34,1.21,0.5,0.53,0.74,2.11,16.02,0.84,2.17,0,32%,1.58,89%,88%,10.41,0.06,0.46,0.84,0.25
Int,  ,Tom Askey,£26M  £77M,1.41,2.7,1.03,0.03,15%,0.82,0.13,16%,5,13.1km,1.39,52.83,46.33,13.17,5.37,4.06,0.33,0.9,0.41,0.26,0.44,1.72,17.79,1.54,3.03,0.05,38%,1.69,63%,88%,10.01,0.05,0.23,1.54,0.05
Int,  ,Olivier Bamba,£25M  £75M,1.26,2.45,1.18,0.03,,2,0.17,9%,0,13.1km,1.14,53.57,48.25,11.41,4.32,5.36,0.48,0.97,0.17,0.35,0.62,1.56,14.79,1.21,2.73,0,48%,2.28,81%,90%,9.5,0.03,0.45,1.21,0.28
,  ,Juan Antonio Afonso,£23M  £70M,2.28,2.54,0.36,0.03,30%,0.76,0.23,30%,9,12.7km,1.12,46.39,40.54,11.72,13.19,3.74,0.41,1.35,0.53,0.28,0.53,1.7,13.11,1.75,2.69,0,14%,1.58,78%,87%,10.95,0.05,0.43,1.75,0.18
,  ,Joaquin Obispo,£23M  £70M,1.88,3.38,1.29,0.17,18%,0.31,0.06,18%,2,12.9km,0.94,56.95,51.97,11.5,9.47,5.21,0.17,0.52,0.2,0.46,0.6,1.92,11.7,1.23,3.06,0.09,38%,2.15,69%,91%,9.21,0.09,0.31,1.23,0.23
Int,  ,Lee HyunJun,£23M  £69M,1.29,2.46,0.95,0,10%,0.95,0.08,8%,2,13.1km,1.47,47.06,41.59,12.09,13.48,4.48,0.32,0.83,0.32,0.36,0.48,1.55,10.35,1.7,2.74,0,39%,1.86,76%,88%,11.18,0.04,0.52,1.82,0.24
Int,  ,Ewan Aiton,£23M  £68M,1.26,4.33,1.68,0.13,28%,0.7,0.2,29%,6,13.3km,1.28,37.13,31.32,13.36,15.81,1.91,0.67,2.28,0.74,0.34,0.84,1.34,10.61,0.74,2.85,0,39%,1.98,89%,84%,10.1,0.03,0.13,0.74,0.03
Int,  ,Sasho Rolev,£22M  £66M,1.29,3.59,1.38,0.25,14%,0.98,0.18,19%,3,12.3km,0.76,43.71,38.28,10.36,13.18,3.59,0.18,0.83,0.25,0.25,0.91,1.67,15.54,1.38,3.3,0,38%,2.61,81%,88%,11.08,0.11,0.18,1.38,0.04
Int,  ,Imad Verberne,£22M  £66M,1.6,3.67,0.87,0,6%,0.87,0.05,6%,2,13.0km,2.01,35.11,29.8,13.26,15.43,2.19,0.87,2.85,1,0.11,0.61,1.56,11.02,1.4,2.46,0,24%,1.61,73%,85%,10.62,0.05,0.42,1.69,0.18
Wnt,  ,Franco Perin,£20M,0.85,3.81,1.82,0.11,11%,0.64,0.07,11%,2,12.6km,1.18,45.05,39.18,11.82,14.67,3.28,0.21,0.82,0.25,0.32,0.64,1.67,9.65,1.1,2.49,0,48%,1.21,65%,87%,10.29,0.04,0.25,1.32,
,  ,James Scott,£19.5M  £58M,1.68,2.57,0.68,0.03,12%,0.74,0.09,12%,3,11.8km,0.74,47.89,42.26,10.47,15.1,2.89,0.12,0.47,0.18,0.35,0.71,1.68,11.88,0.97,2.65,0,26%,1.98,86%,88%,11.09,0.03,0.29,0.97,0.15
Int,  ,David Phanouvong,£19M  £57M,2.23,6.08,4.29,0.09,6%,1.34,0.09,7%,1,12.7km,1.43,48.76,45.18,14.58,10.02,7.34,0.36,1.52,0.63,1.07,0.89,3.49,15.3,0.63,1.97,0.36,71%,2.24,78%,93%,7.78,0.09,0.09,0.63,
Int,  ,Warren ZaïreEmery,£19M  £56M,2.12,3.44,1.75,0.31,16%,6.75,1,15%,4,12.8km,0.88,53.19,47.28,12.35,8.01,4.94,0.13,0.66,0.31,0.28,0.72,1.78,15.29,2.31,3,0,51%,2.25,79%,89%,10.1,0.13,0.59,2.31,0.28
Int,  ,Marc Bernal,£17.5M  £53M,2.42,3.6,1.93,0.27,30%,0.58,0.18,31%,8,12.5km,1.93,46.95,41.37,10.99,13.48,4.59,0.56,1.84,0.76,0.34,0.49,1.79,14.98,1.93,2.84,0.02,53%,1.97,81%,88%,11.78,0.04,0.54,1.93,0.36
Int,  ,Louis Solari,£17.5M  £53M,1.81,4.05,1.31,0.43,20%,0.84,0.17,21%,8,12.7km,0.9,46.76,41.15,12.35,9.45,3.42,0.28,1.14,0.3,0.32,0.58,1.46,17.65,1.12,2.8,0,32%,1.83,80%,88%,10.29,0.02,0.39,1.12,0.11
Int,  ,Baba Osagie,£17.5M  £52M,1.67,2.28,0.85,0.16,10%,0.53,0.05,10%,1,12.6km,1.06,51.01,44.92,12.55,9.64,4.34,0.16,0.79,0.21,0.26,0.85,2.07,13.56,1.85,2.33,0,37%,1.27,67%,88%,10.44,0.05,0.16,1.85,0.11
,  ,Lukáš Neubert,£17.5M  £52M,1.63,3.56,1.04,0.22,40%,0.37,0.15,40%,4,12.5km,0.59,54.67,49.22,10.85,5.56,5.96,0.07,0.26,0,0.41,0.89,1.7,13,1.04,2.85,0.04,29%,2.52,85%,90%,9.37,0.11,0.41,1.04,0.3
,  ,Steve Perez,£17M  £52M,0.93,2.71,0.9,0,15%,0.78,0.12,16%,3,12.8km,1.93,47.34,41.79,11.64,14.48,3.25,0.37,1.19,0.66,0.29,0.62,1.89,11.89,1.19,2.47,0,33%,1.48,72%,88%,11.19,0.08,0.53,1.28,0.12
,  ,Pacifique Gakiza,£16M  £48M,0.94,2.82,1.03,0.08,33%,8.84,1.11,13%,7,12.8km,1.49,39.76,34.19,12.54,16.16,2.94,0.65,1.72,0.72,0.34,0.72,1.3,14.9,1.56,3.13,0,36%,1.75,74%,86%,11.25,0.04,0.5,2.13,0.19
Wnt,  ,Mahamadou Touré,£16M  £48M,1.39,3.37,1.05,0.2,27%,0.37,0.1,27%,3,13.0km,0.61,54.38,48.81,10.86,6.34,5.7,0,0.17,0.03,0.34,0.74,1.72,12.41,1.48,2.46,0.17,31%,1.96,75%,90%,9.95,0.07,0.4,1.48,0.17
Int,  ,Hugh Tyson,£16M  £48M,1.15,3.85,1.5,0.2,20%,0.72,0.14,20%,5,13.0km,0.78,47.04,39.82,11.39,11.07,3.8,0.17,0.37,0.14,0.32,0.63,1.7,13.63,1.55,2.93,0,39%,1.98,78%,85%,11.62,0.12,0.23,1.55,0.09
Int,  ,Lewis Williams,£15.5M  £47M,1.65,3.32,0.64,0.07,4%,3.57,0.21,6%,1,13.2km,1.24,39.96,33.46,12.58,15.19,2.86,0.35,1.73,0.85,0.32,0.71,1.48,13.64,1.38,3.07,0,19%,1.84,75%,84%,10.78,0.04,0.35,2.61,0.21
,  ,Alexander Fankhauser,£15.5M  £47M,1.4,3.1,0.82,0.06,20%,0.68,0.14,21%,5,13.0km,2.05,41.35,35.72,12.31,16.07,2.73,0.34,1.79,0.63,0.31,0.65,1.85,11,1.08,2.64,0,27%,1.54,81%,86%,11.52,0,0.26,1.99,0.11
,  ,Luca Meloni,£15.5M  £47M,1.88,2.98,1.09,0.09,11%,0.39,0.04,11%,2,13.3km,0.74,57.12,51.9,12.28,5.13,6.19,0.24,0.8,0.15,0.33,0.72,1.54,16.74,1.2,2.72,0.09,36%,2.17,80%,91%,9.72,0.07,0.5,1.33,0.26
Wnt,  ,Ayrton Farrell,£15.5M  £46M,1.88,2.14,0.4,0,17%,0.69,0.12,18%,3,12.6km,1.45,48.29,43.41,11.66,10.49,4.16,0.28,1.01,0.48,0.32,0.56,1.82,14.72,1.9,2.99,0,19%,1.9,82%,90%,11.09,0.08,0.2,2.34,0.16
Wnt,  ,Daniel Stacey,£15M  £45M,1.03,3.04,1.13,0.06,18%,1.22,0.17,14%,5,12.5km,1.3,47.4,41.99,10.74,13.89,3.15,0.2,0.41,0.12,0.29,0.58,1.59,9.06,1.24,3.01,0,37%,2,78%,89%,11.23,0,,1.82,0.23
Int,  ,Alpha Thorvaldsen,£14.5M  £43M,1.94,3.77,1.49,0.4,12%,0.82,0.11,13%,4,12.3km,0.77,47.23,41.15,10.88,9.66,4.35,0.24,0.72,0.34,0.32,0.64,1.91,17.19,2.31,3.08,0,39%,1.83,68%,87%,11.41,0.05,0.21,2.31,0.13
,  ,Umar Okon,£13.5M  £41M,1.24,3.31,1.1,0.08,23%,0.72,0.17,24%,4,11.8km,1.31,45.38,38.85,9.92,15.61,3.22,0.08,0.25,0.08,0.47,0.68,1.7,10.22,1.23,2.46,0,33%,1.7,85%,86%,10.98,0,0.34,1.23,0.21
,  ,Patxi Sola,£13.5M  £41M,1.19,2.3,0.96,0.04,17%,2.14,0.34,16%,4,12.5km,1.11,47.16,42.3,11.52,13.9,2.91,0.08,0.34,0.15,0.42,0.69,1.8,11.64,1.15,2.95,0,42%,2.07,81%,90%,11.68,0.08,0.27,2.37,0.27
,  ,Sergio Uriarte,£13.5M  £40M,1.21,4.1,1.91,0.42,10%,0.9,0.1,11%,3,12.6km,0.9,47.04,40.87,10.73,11.6,2.65,0.87,2.26,0.78,0.32,0.39,1.16,13.28,0.94,3.1,0,46%,2.04,84%,87%,11.37,0.03,0.16,0.94,
IPR,  ,Kirill Yeremeev,£13M  £39M,2.05,3.8,1.96,0.34,29%,1.04,0.31,30%,11,12.2km,0.78,52.6,45.91,11.47,7.83,4.14,0.64,1.96,1.01,0.25,0.39,1.34,18.18,1.85,3.13,0,51%,2.21,80%,87%,11.36,0.06,0.42,1.85,0.14
Int,  ,Yam MargolisLazmi,£13M  £39M,1.07,3.23,1,0.08,10%,1,0.12,12%,2,12.4km,1.46,38.15,33.41,11.66,16.63,3.04,0.54,1.89,0.5,0.19,0.58,1.31,13.93,1.5,2.77,0,31%,1.54,75%,88%,10.66,0.12,0.19,2.66,0.23
,  ,Sílvio César,£12.5M  £38M,1.41,4.19,2.08,0.49,9%,0.95,0.09,10%,3,13.0km,0.8,47.63,42.64,11.05,12.8,3.31,0.24,0.49,0.18,0.31,0.4,1.38,12.12,1.01,3.12,0,50%,2.08,82%,90%,11.02,0.06,0.28,1.01,0.28
Int,  ,Bogdan Shakhov,£12.5M  £37M,1.5,2.03,0.62,0.08,,0.55,0,0%,0,13.3km,0.86,52.41,47.11,13.26,7.41,4.68,0,0.39,0.16,0.31,0.78,1.87,13.8,0.7,2.57,0.16,31%,1.95,76%,90%,9.9,0.08,0.16,0.7,0.23
,  ,Nathaniel Hondi,£12.5M  £37M,1.72,3.64,1.61,0.2,16%,0.6,0.1,17%,4,12.9km,1.4,47.71,42.27,11.29,13.02,3.14,0.35,0.83,0.23,0.38,0.85,1.66,13.65,1.13,3.06,0,44%,2.06,80%,89%,11.36,0.08,0.28,1.18,0.28
,  ,Ihor Myronenko,£12.5M  £37M,1.74,6.48,2.36,0.03,20%,0.84,0.17,20%,5,13.2km,1.55,30.43,25.77,12.28,14.84,1.79,0.61,1.82,0.88,0.44,0.64,1.42,13.39,1.25,2.46,0,36%,1.52,80%,85%,10.63,0.07,0.3,1.25,0.1
Lst,  ,Nacho Cano,£12M,1.48,3.37,0.92,0,29%,0.82,0.24,29%,5,12.4km,0.87,43.6,37.15,10.07,15.61,3.9,0.1,0.77,0.29,0.43,0.58,1.83,11.47,1.45,2.7,0,27%,1.69,73%,85%,10.89,0.05,0.53,2.36,0.24
Wnt,  ,Chima Anozie,£11.5M  £34M,0.8,3.66,1.88,0.29,25%,1.23,0.31,26%,12,12.4km,1.18,50.82,43.55,12.59,14.24,3.59,0.31,0.71,0.16,0.24,0.58,1.83,11.88,1.67,3.64,0,51%,2.62,83%,86%,10.97,0.13,0.29,1.67,0.08
,  ,Matjaž Horvat,£11M  £33M,2.32,2.98,0.92,0.11,16%,0.84,0.14,16%,5,12.2km,0.95,47.56,41.54,11.84,10.79,3.01,0.27,0.98,0.22,0.24,0.41,1.57,18.24,1.14,2.66,0,31%,1.68,77%,87%,10.7,0,0.22,1.14,0.49
,  ,Simone Pedaggi,£11M  £33M,1.74,4.31,1.84,0.47,13%,1.06,0.14,13%,6,12.5km,0.64,46.27,39.8,12.07,13.25,3.11,0.28,0.96,0.4,0.26,0.49,1.2,12.26,1.18,2.99,0,43%,1.98,82%,86%,11.41,0,0.24,1.39,0.19
,  ,Kai Müller,£11M  £33M,1.72,3.02,1.07,0.06,28%,0.75,0.21,28%,7,12.2km,0.84,45.54,39.24,10.36,13.59,3.55,0.24,0.75,0.27,0.33,0.81,1.7,13.44,1.31,3.08,0,36%,1.85,70%,86%,11.17,0.06,0.33,1.31,0.24
Int,  ,Koji Nagao,£10.5M  £31M,1.79,2.4,0.81,0.05,29%,0.46,0.13,29%,5,12.7km,0.67,54.06,48.48,11.05,6.71,5.61,0.05,0.27,0.05,0.46,0.84,2,11.94,1.4,2.4,0.03,34%,1.91,76%,90%,9.87,0.05,0.4,1.4,0.32
,  ,Vitomir Jovanović,£10.5M  £31M,2.09,2.77,0.87,0.05,22%,0.87,0.19,22%,8,12.4km,1.38,47.9,43.05,11.82,14.28,4.1,0.46,1.26,0.51,0.15,0.66,1.43,14.4,2.11,3.06,0,32%,1.63,66%,90%,11.27,0.07,0.7,2.14,0.49
Inj,  ,Sören Wolf,£10.5M  £31M,0.94,2.5,1.02,0.04,18%,0.39,0.07,18%,2,13.4km,0.56,53.44,48.06,11.82,7.35,5.38,0.18,0.77,0.21,0.49,0.63,1.76,14.18,1.44,2.89,0.14,41%,2.36,80%,90%,9.75,0,0.25,1.44,0.18
Int,  ,Birkan Aygün,£9.8M  £29M,1,2.41,0.63,0.04,18%,0.41,0.07,18%,2,13.0km,1.07,55.07,48.74,12.19,8.78,5.3,0.3,0.74,0.11,0.48,0.85,1.74,11,0.89,2.67,0.11,26%,1.81,68%,89%,9.67,0.15,0.22,0.89,0.07
Int,  ,Kelechi Sani,£9.8M  £29M,1.06,2.83,0.99,0.04,,0.38,0,0%,0,13.3km,1.15,56.42,51.79,11.67,6.77,6.2,0.15,0.54,0.08,0.69,0.88,1.76,12.39,1.03,2.95,0.08,35%,1.91,64%,92%,9.94,0.08,0.23,1.03,0.11
,  ,Richard Breistøl,£9.4M  £28M,0.96,2.82,1.32,0.04,6%,0.6,0.04,6%,1,12.4km,0.9,47.5,41.07,12.26,15.53,3.46,0.15,0.38,0.11,0.56,0.87,1.81,13.61,0.87,2.75,0.26,47%,2.22,81%,86%,11.06,0.08,0.04,0.87,0.04
Wnt,  ,Alexandre Luiz,£9.4M  £28M,0.91,2.24,0.48,0,29%,3.77,0.89,24%,7,12.7km,1.53,51.74,44.39,12.42,12.33,3.39,0.38,1.21,0.35,0.26,0.7,1.37,10.67,1.41,2.91,0,21%,1.98,86%,86%,10.64,0.06,0.26,1.41,0.16
Wnt,  ,Moisés Rubio,£9.2M  £28M,1.24,2.32,0.89,0.03,25%,0.26,0.07,25%,2,13.1km,0.4,55.02,49.09,11.3,5.8,5.47,0.2,0.53,0,0.63,1.29,1.76,14.01,1.09,2.29,0.03,39%,2.09,80%,89%,9.44,0.13,0.7,1.09,0.17
Wnt,  ,Alberto Celorio,£9M  £27M,1.2,2.14,1.02,0,6%,1.05,0.07,7%,2,12.6km,0.81,48.4,43.04,11.39,12.34,3.96,0,0.25,0,0.14,0.53,1.44,13.18,2.03,2.98,0,48%,2.07,78%,89%,11.36,0.11,0.39,2.03,0.04
Wnt,  ,Salvador Café,£8.6M  £26M,1.45,3.23,0.78,0.18,25%,0.84,0.21,25%,7,12.2km,0.84,45.13,39.31,10.13,11.69,3.8,0.45,1.2,0.33,0.33,0.84,1.64,16.02,1.82,3.17,0,24%,2.15,79%,87%,11.63,0.06,0.48,1.82,0.33
Int,  ,Boubacar Konaté,£8.6M  £26M,1,3.38,1.71,0.29,25%,0.33,0.08,25%,2,12.8km,0.79,52.98,46.81,10.88,11.63,3.71,0.46,1.25,0.38,0.46,0.54,1.42,11.01,0.67,3.21,0.13,51%,2.67,80%,88%,10,0.08,0.17,0.67,0.21
,  ,Sergiy Tereshchenko,£8.4M  £25M,1.32,5.45,1.51,0.12,12%,0.93,0.12,13%,3,12.2km,1.31,36.51,31.87,9.63,15.24,2.51,0.62,1.43,0.43,0.31,0.97,1.55,14,1.39,2.48,0,28%,1.78,81%,87%,9.71,0,0.54,1.9,0.23
Int,  ,Andrei Oprea,£8.4M  £25M,1.03,2.43,0.66,0,28%,0.39,0.11,29%,4,13.5km,0.66,53.91,49.04,12.17,5.17,5.45,0.28,0.75,0.03,0.36,0.83,2.07,11.31,0.8,2.68,0.08,27%,2.24,78%,91%,9.9,0.11,0.44,0.8,0.06
Wnt,  ,Jovi Keurntjes,£8.4M  £25M,0.94,3.68,1.95,0.29,14%,3.1,0.4,13%,3,12.4km,1.23,43.79,38.05,10.69,12.24,3.9,0.36,1.44,0.65,0.36,0.83,1.84,11.48,1.23,3.32,0,53%,1.66,71%,87%,11.01,0.07,0.43,1.48,0.07
Int,  ,Xabier Núñez,£8.4M  £25M,1.56,2.77,0.81,0.07,30%,0.65,0.2,30%,6,12.8km,1.04,47.39,41.69,11.66,11.69,4.07,0.33,0.75,0.36,0.29,0.88,1.53,13,1.89,2.67,0,29%,1.56,75%,88%,10.81,0.03,0.2,1.89,0.03
Wnt,  ,Alessio Marino,£8.2M  £25M,2.16,3.7,0.88,0.07,14%,0.64,0.09,15%,4,13.3km,1.42,33,27.56,12.72,17,2.23,1.09,3.09,1.42,0.24,0.64,1.38,14.03,1.4,2.56,0,24%,1.71,79%,84%,10.14,0.02,0.5,1.4,0.43
Wnt,  ,James Jackson,£8M  £24M,1.88,3.44,0.74,0.1,,1.48,0,0%,0,12.1km,0.79,44.27,39.43,9.78,13.2,3.36,0.41,1.53,0.43,0.36,0.61,1.58,11.72,1.35,2.67,0,21%,1.71,73%,89%,10.8,0,0.25,2.62,0.36
Int,  ,Chris Porter,£8M  £24M,0.87,4.68,3.11,0.33,6%,1,0.07,7%,2,13.0km,0.87,53.97,48.21,13.75,14.19,5.72,0.07,0.2,0.03,0.57,0.74,2.11,13.52,0.64,3.14,0.6,66%,2.88,83%,89%,9.27,0.03,0.13,0.64,
Int,  ,Gordon Docherty,£7.2M  £22M,1.34,4.01,1.75,0.28,25%,1.53,0.28,18%,10,12.9km,0.97,52.11,44.37,12.6,9.01,3.51,0.47,1.2,0.36,0.31,0.58,1.78,15.05,0.95,2.78,0,44%,1.92,79%,85%,10.66,0.06,0.17,1.42,
,  ,Francesco Ruggeri,£7.2M  £21M,1.39,4.01,1.99,0.18,10%,0.85,0.07,8%,2,12.7km,0.53,41.75,36.96,12.07,10.79,3.55,0.39,1.24,0.39,0.43,1.07,1.6,13.42,1.67,2.63,0,50%,2.2,85%,89%,11.29,0.14,0.28,1.67,0.07
,  ,Daniel Wagner,£7M  £21M,2.06,3.84,1.48,0.03,20%,0.77,0.16,21%,5,12.7km,1.39,43.22,37.74,10.69,9.36,3,0.68,1.71,0.68,0.39,0.39,1.71,17.24,0.9,2.52,0,39%,1.84,88%,87%,11.56,0.03,0.29,1.29,0.13
