Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Justin Smith,£0,1.16,54,Gibraltar Football League,,,,5.39,0.1,105,,,0.13,,0.07,,0.07,0.13,40%,2.67,0.77,14%,0.72,0.1,14%,2,12.0km,0.46,51.78,45.87,8.42,6.68,3.34,0.15,0.51,0.21,0.31,1.13,1.08,12.17,0.92,2.62,0.36,50%,2.11,79%,89%,8.58,0.1,,0.92,0.21
,  ,Lamin Jallow,£95K  £300K,2.6,97,Gibraltar Football League,,,,10.3,0,77,,,0.01,,0.05,,0.05,0.2,50%,7.36,0.53,,0.13,0,0%,0,11.1km,0.13,51.49,41.46,4.41,2.41,6.29,0,0.27,0.13,0.53,1.87,1.2,18.19,0.53,1.74,0,71%,0.8,43%,81%,3.48,0.27,,0.53,0.13
,  ,Jack Phillips,£3.5K  £10K,2.05,96,Gibraltar Football League,,,,8.31,0.48,292,,,0.11,,0.13,,0.13,0.09,17%,6.17,1.05,14%,3.27,0.48,15%,17,11.8km,0.85,47.05,40.19,13,12.6,4.3,0.4,1.37,0.23,0.34,1.76,1.74,12.66,0.71,1.91,0.4,74%,1.74,77%,85%,6.8,0.11,0.11,0.71,0.09
,  ,Ilja Avdeev,£0,2.11,92,Gibraltar Football League,,,,8.46,0,237,5%,"2,520.00",0.04,,0.06,0.04,0.06,0.09,11%,6,0.82,,0.36,0,0%,0,10.6km,0.14,51.54,42.54,5,3.18,3.71,0.11,0.68,0.07,0.39,1.29,1.64,22.64,0.5,1.04,0.79,71%,1.11,89%,83%,3.04,0.25,0.04,0.5,0.11
,  ,Sergey Abakarov,£0,1.79,81,Gibraltar Football League,,,,8.09,0,107,,,0.02,,0.09,,0.09,0.13,22%,6.13,0.45,,0,0,,0,9.9km,0.15,52.64,45,4.84,2.87,2.72,0.15,0.68,0.15,0.91,1.51,1.29,15.96,0.15,0.76,0.23,76%,0.83,100%,85%,2.42,0.15,,0.15,
,  ,Adrian Arndt,£0,2.19,82,Gibraltar Football League,,,,7.81,0,86,,,0.01,,0.14,,0.14,0.12,31%,5.81,0.91,,0.09,0,0%,0,10.7km,0.18,51.95,43.59,3.45,2.45,4.36,0.45,1.18,0.36,0.82,1.54,1.36,18.98,0.36,1.27,0.73,74%,1,73%,84%,3.36,0.18,0.09,0.36,
,  ,Scott McNamee,£4.5K  £14K,2.14,93,Gibraltar Football League,,,,7.8,0.07,213,16%,819.67,0.07,,0.06,0.11,0.06,0.09,21%,5.16,0.55,25%,0.92,0.07,8%,2,11.5km,0.15,53.77,48.79,6.81,4.39,3.77,0.37,0.7,0.15,0.62,1.68,1.43,17.24,0.66,1.24,0.62,66%,1.24,97%,91%,5.05,0.22,0.11,0.66,
,  ,Stefan Desoiza,£0,0.53,37,Gibraltar Football League,,,,4.63,0.09,54,,,0.35,,0.01,,0.01,0.07,50%,2.49,0.43,12%,0.69,0.09,13%,1,12.7km,0.51,51.26,45.26,9.43,8.14,4.11,0.09,0.17,0.09,0.69,1.29,0.86,13.29,0.77,2.49,0,54%,1.46,61%,88%,9.34,0,0.6,0.77,0.26
,  ,Timothy Dimech,£0,1,64,Gibraltar Football League,,,,7.24,0,52,,,0,,0.03,,0.03,0.07,33%,4.74,0.14,,0.14,0,0%,0,10.6km,,50.99,44.86,6.27,2.79,4.18,0.28,0.42,0.14,0.84,2.51,1.95,17.55,0.84,0.42,1.53,65%,0.42,100%,88%,2.79,0.14,,1.53,
,  ,Oualid Zokari,£0,0.93,40,Gibraltar Football League,,,,6.88,0,80,,,0.03,,0.03,,0.03,0.11,33%,4.13,0.34,,0.77,0,0%,0,10.8km,0.52,48.91,42.98,6.02,10.23,3.87,0,0.26,0.09,0.6,1.03,1.89,11.6,0.17,0.95,1.46,60%,1.03,86%,88%,5.07,0,,0.17,0.09
,  ,George Preece,£0,0.25,40,Gibraltar Football League,,,,8.49,0,62,14%,657,0,,0.08,0.14,0.08,0.08,29%,6.03,0.68,,0.27,0,0%,0,11.5km,,51.1,41.51,4.25,3.84,4.66,0.41,0.96,0.27,,1.37,0.82,15.62,0.27,1.92,2.05,71%,1.51,79%,81%,3.29,0.27,,0.27,
,  ,Darren Nwankwo,£0,0.89,42,Gibraltar Football League,,,,9.43,0.06,158,9%,"1,508.00",0.01,,0.05,0.06,0.05,0.08,9%,6.8,0.66,33%,0.18,0.06,33%,1,10.6km,0.06,50.01,41.66,4.83,3.82,3.1,0.24,0.66,0.06,0.54,1.49,1.49,12.29,0.24,1.01,0.72,72%,1.07,95%,83%,2.69,0.12,,0.24,0.06
,  ,Chris Curtis,£0,1.57,78,Gibraltar Football League,,,,9.42,0.04,255,10%,"2,437.00",0.07,,0.04,0.04,0.04,0.1,20%,6.54,1.22,25%,0.15,0.04,25%,1,11.3km,0.11,52.96,47.01,5.65,2.95,4.21,0.11,0.37,0.07,0.48,1.4,1.37,16.47,0.48,1.14,0.52,69%,1.14,84%,89%,3.36,0.15,,0.48,0.11
,  ,Jack Brittain,£0,0.36,16,Gibraltar Football League,,,,6.7,0,56,,,0.01,,0.1,,0.1,0.16,0%,5.15,0.6,,0.96,0,0%,0,10.4km,,50.27,41.05,5.03,7.18,4.91,0,0.6,0,0.36,1.8,1.44,1.68,0.72,1.08,0,77%,0.84,70%,82%,3.47,0.24,,0.72,
,  ,Jamie Lopez,£0,0.48,46,Gibraltar Football League,,,,8.7,0,177,,,0.03,,0.02,,0.02,0.07,0%,6.24,0.44,,0.25,0,0%,0,11.0km,,52.22,41.71,5.5,4.03,3.68,0.05,0.29,0,0.49,1.72,1.38,8.3,0.49,1.42,0.34,72%,1.38,82%,80%,3.44,0.44,0.15,0.49,
,  ,Vladimir Klimovich,£0,0.85,58,Gibraltar Football League,,,,9.44,0,84,17%,801,0.03,,0.09,0.11,0.09,0.13,33%,5.51,0.34,,0.22,0,0%,0,10.4km,,51.35,41.24,5.06,3.48,4.72,0.34,0.67,0.22,0.9,2.02,1.91,15.51,0.79,1.35,0.22,58%,1.35,80%,80%,2.92,0.34,0.22,0.79,0.11
,  ,Luka Majcen,£0,1.2,58,Gibraltar Football League,,,,9.83,0,124,,,0.01,,0.04,,0.04,0.06,22%,5.31,1.19,,0.16,0,0%,0,10.4km,,51.07,42.42,4.68,3.57,3.89,0.32,0.71,0.16,0.63,1.98,1.27,13.32,0.32,0.71,0.56,54%,0.71,82%,83%,3.09,0.08,0.08,0.32,0.08
,  ,Ross Burke,£0,0.8,46,Gibraltar Football League,,,,9.39,0,191,,,0.04,,0.07,,0.07,0.11,0%,6,0.89,,0.05,0,0%,0,10.9km,0.05,51.34,43.43,4.38,3.79,3.74,0.15,0.59,0,0.44,1.57,1.08,13.77,0.2,1.28,1.92,64%,0.98,71%,85%,2.85,0.1,0.15,0.2,0.05
,  ,Valentin Pinto,£4.5K  £14K,1.89,109,Gibraltar Football League,,,,6.64,0.11,246,6%,"1,667.50",0.04,,0.13,0.05,0.13,0.14,32%,4.88,0.51,25%,0.65,0.16,25%,4,11.4km,0.24,54.22,49.33,6.48,3.16,3.94,0.3,0.92,0.3,0.62,1.59,1.59,12.33,0.22,1.16,0.13,74%,1.19,75%,91%,4.07,0.3,0.05,0.22,0.03
,  ,Adam Bewley,£0,0.72,48,Gibraltar Football League,,,,8.35,0,153,,,0.03,,0.02,,0.02,0.07,0%,4.53,0.76,,0.16,0,0%,0,10.7km,0.05,51.55,42.05,3.76,3.65,3.87,0.11,0.33,0,0.11,1.36,0.98,14.95,0.22,1.75,0.27,54%,1.85,94%,82%,3.11,0.27,0.05,0.22,
,  ,Steve Simmons,£4.5K  £14K,1.52,87,Gibraltar Football League,,,,6.76,0.75,162,4%,"2,158.00",0.07,,0.15,0.04,0.15,0.13,14%,3.38,0.38,15%,4.8,0.75,16%,18,12.2km,1,46.38,38.95,15.43,13.51,3.63,0.38,1.17,0.17,0.79,1.33,2.67,10.84,0.58,1.46,0.58,50%,1.46,88%,84%,7.09,0.13,0.04,0.58,0.13
,  ,Belarmino QuintaFeira,£4.5K  £14K,1.5,100,Gibraltar Football League,,,,6.35,0.08,150,9%,"2,125.00",0.03,,0.05,0.04,0.05,0.12,27%,3.64,0.42,33%,0.25,0.08,33%,2,11.7km,0.38,52.22,47.22,7.62,3.94,3.05,0.13,0.47,0.13,0.64,1.4,1.69,17.53,0.59,1.99,0.21,57%,1.82,81%,90%,7.03,0.21,0.04,0.59,0.04
,  ,Jon Evans,£10K  £30K,1.94,89,JD Cymru Premier,,,,5.9,0.1,180,5%,"2,744.00",0.05,,0.07,0.03,0.07,0.11,10%,3.12,0.72,16%,0.59,0.1,17%,3,11.8km,0.3,51.63,45.3,7.84,4.82,4.07,0.13,0.66,0.07,0.3,1.08,1.25,17.19,0.72,2.2,0.39,53%,1.71,80%,88%,8.17,0.13,0.16,0.72,0.03
Wnt,  ,Mansour Mbaye,£40K  £120K,2.08,112,JD Cymru Premier,,,,7.21,0,263,,,0.02,,0.11,,0.11,0.12,15%,4.74,0.74,,0.14,0,0%,0,11.1km,0.14,57.61,48.89,5.32,2.58,3.4,0.22,0.9,0.14,0.55,1.12,1.23,19.22,0.25,1.18,0.41,66%,1.4,93%,85%,3.54,0.27,0.03,0.25,0.03
,  ,Harlee Parcell,£6K  £18K,1.89,96,JD Cymru Premier,,,,8.52,0,224,10%,"1,182.50",0.07,,0.09,0.08,0.09,0.12,19%,5.48,1.03,,0.19,0,0%,0,10.9km,0.08,53.2,44.87,4.57,2.51,4.22,0.23,0.8,0.15,0.53,1.45,1.56,21.62,0.53,1.48,0.15,64%,1.33,81%,84%,3.73,0.23,0.11,1.48,0.08
,  ,Josh Tobin,£5K  £16K,2.32,87,JD Cymru Premier,,,,7.85,0.07,239,,,0.17,,0.08,,0.08,0.15,13%,5.32,0.85,50%,0.13,0.07,50%,2,11.1km,0.07,53.53,45.74,6.24,3.65,4.01,0.07,0.49,0.07,0.53,1.22,1.02,18.93,0.56,1.48,0.92,68%,1.31,80%,85%,5.32,0.07,0.26,0.56,0.33
,  ,Pius Babatunde,£8K  £24K,1.76,96,JD Cymru Premier,,,,8.98,0,321,,,0.05,,0.07,,0.07,0.11,8%,5.85,0.7,,0.62,0.14,23%,0,11.3km,0.03,51.96,43.66,4.87,2.24,3.94,0.17,0.67,0.06,0.48,1.57,1.48,25.2,0.36,1.2,1.45,65%,1.12,83%,84%,3.05,0.42,,0.36,
Trn,  ,Jude Booth,£0,1.31,97,JD Cymru Premier,,,,7.2,0.03,216,,,0.03,,0.07,,0.07,0.15,0%,4.86,0.9,7%,0.43,0.03,8%,1,10.6km,0.2,52.18,43.02,4.17,3.93,4.5,0.23,0.5,0,0.37,1.63,0.9,20.39,0.17,1.57,0.5,68%,1.27,78%,82%,3.43,0.17,0.03,0.17,
,  ,Sam Simpson,£28K  £85K,1.89,110,JD Cymru Premier,,,,6.84,0.09,156,,,0.12,,0.09,,0.09,0.15,0%,4.73,0.66,12%,0.7,0.09,13%,2,12.0km,0.26,52.89,45.66,9.9,5.52,4.38,0.31,0.57,0,0.53,1.23,2.37,18.49,0.44,1.4,1.1,69%,1.58,86%,86%,6.09,0.18,0.13,0.44,0.04
,  ,Daniel Eshun,£40K  £120K,2,115,JD Cymru Premier,,,,7.34,0.05,307,10%,"1,255.00",0.07,,0.06,0.07,0.06,0.08,29%,4.9,0.79,12%,0.38,0.05,13%,2,11.6km,0.31,53.5,46.76,7.1,5.16,3.42,0.17,0.74,0.22,0.62,1.22,1.86,17.81,0.48,1.6,0.43,67%,1.43,75%,87%,5.86,0.17,0.07,0.48,0.07
,  ,Fran Forth,£22K  £65K,2,97,JD Cymru Premier,,,,4.03,0.24,85,17%,474.5,0.12,,0.11,0.19,0.11,0.11,39%,2.13,0.24,31%,0.76,0.24,31%,5,11.8km,0.33,46.47,39.59,8.2,11.57,4.13,0.47,1.09,0.43,0.57,1.52,1.19,18.07,1.61,2.66,0,53%,1.47,70%,85%,9.96,0.09,0.24,1.61,0.19
Wnt,  ,Shaun Rodgers,£0,0.75,36,JD Cymru Premier,,,,8.78,0,199,8%,"2,039.00",0.01,,0.08,0.04,0.08,0.15,8%,5.91,0.79,,0.18,0,0%,0,10.7km,,51.95,43.34,5.25,4.77,2.91,0.31,0.57,0.04,0.49,1.99,1.37,12.67,0.26,0.97,0.66,67%,1.02,88%,83%,2.96,0.22,,0.26,
Wnt,  ,Joshua Davies,£0,0.44,39,JD Cymru Premier,,,,6.99,0.25,84,,,0.02,,0,,0,0.03,0%,3.83,0.5,6%,6.66,0.92,14%,3,11.7km,1.5,42.04,36.72,8.33,14.24,3.83,0,0.08,0,0.42,1.67,2.58,7.16,1.08,1.75,2.5,55%,1.17,56%,87%,6.99,0.08,,1.08,
Ret,  ,Evan Cadwallader,£0,1.21,45,JD Cymru Premier,,,,8.61,0,266,23%,926.67,0.04,,0.04,0.1,0.04,0.1,38%,6.28,0.84,,0.06,0,0%,0,11.1km,0.03,50.12,41.47,4.63,3.79,3.5,0.23,0.42,0.16,0.52,0.84,1.42,15.35,0.32,0.97,1.46,73%,0.78,75%,83%,3.79,0.19,0.03,0.32,0.1
Yth,  ,Kim MinKyun,£1K  £2.5K,0.8,46,JD Cymru Premier,,,,7.27,0,97,7%,"1,201.00",0.01,,0.11,0.07,0.11,0.11,14%,4.87,0.6,,2.62,0.37,14%,0,10.8km,0.07,54.7,44.96,5.1,3.15,3.75,0.52,1.05,0.15,0.6,2.17,1.65,15.44,0.3,1.05,1.05,67%,0.97,81%,82%,3.45,0.15,,1.12,
,  ,Ryan Jones,£0,0.81,46,JD Cymru Premier,,,,7.56,0.07,203,5%,"2,418.00",0.05,,0.07,0.04,0.07,0.09,9%,4.58,0.74,18%,0.89,0.07,8%,2,10.5km,,53.08,44.78,4.8,4.35,3.98,0.22,0.82,0.07,0.33,1.9,1.12,11.05,0.3,1.15,0.11,61%,1.15,91%,84%,2.94,0.11,0.04,0.3,
,  ,Dave Cooper,£0,1.03,48,JD Cymru Premier,,,,6.44,0.55,175,11%,"1,222.00",0.04,,0.06,0.07,0.06,0.09,22%,3.98,0.96,20%,2.69,0.55,21%,15,11.7km,0.18,48.09,39.7,11.19,11.89,4.38,0.33,0.66,0.15,0.41,1.77,1.55,15.65,0.99,1.55,0.77,62%,1.36,69%,83%,6.48,0.07,0.11,0.99,0.04
Wnt,  ,Mal Hicks,£0,0.85,49,JD Cymru Premier,,,,8.16,0.03,263,2%,"2,901.00",0.06,,0.18,0.03,0.18,0.13,20%,5.15,0.65,16%,0.19,0.03,17%,1,10.8km,0.03,49.02,40.7,5.4,5.62,3.78,0.25,1.4,0.28,0.74,1.83,1.09,14.98,0.5,1.37,0.78,63%,1.05,67%,83%,4.34,0.12,0.19,0.5,0.12
,  ,Brian Collins,£40K  £110K,2.11,102,JD Cymru Premier,,,,7.98,0,285,6%,"1,608.00",0.05,,0.11,0.06,0.11,0.12,19%,5.85,1.12,,0.03,0,0%,0,11.0km,0.14,55.97,48.61,4.95,2.74,3.25,0.28,0.9,0.17,0.48,1.26,1.79,20.01,0.22,0.98,0.48,73%,1.32,92%,87%,2.85,0.17,0.17,0.22,0.06
Wnt,  ,Matthew Moore,£0,0.55,52,JD Cymru Premier,,,,7.72,0.04,219,22%,"1,277.00",0.02,,0.03,0.07,0.03,0.09,33%,5.14,0.49,33%,0.11,0.04,33%,1,10.9km,0.04,51.91,42.15,3.49,4.58,3.7,0.04,0.32,0.11,0.78,1.55,1.48,9.23,0.42,1.09,0.74,67%,1.09,89%,81%,3.07,0.35,,0.42,
,  ,Gary Byrne,£0,0.96,53,JD Cymru Premier,,,,8.08,0.04,195,,,0.05,,0.07,,0.07,0.08,10%,4.97,0.91,10%,0.41,0.04,10%,1,11.0km,0.04,52.29,42.68,6.09,6.26,3.27,0.41,0.83,0.08,0.5,1.7,1.28,13.51,0.5,1.28,0.99,62%,1.16,80%,82%,4.23,0.29,0.12,0.5,0.12
,  ,Dewi Harris,£1K  £3.5K,0.74,53,JD Cymru Premier,,,,7.51,0,143,,,0.03,,0.07,,0.07,0.09,13%,5.41,1,,0.11,0,0%,0,10.7km,0.11,52.17,43.98,4.57,2.47,3.94,0.26,0.79,0.11,0.37,1.37,1.94,11.66,0.21,1.16,0.21,72%,0.95,75%,84%,3.73,0.16,0.05,0.21,0.05
,  ,Connah Doyle,£0,0.87,57,JD Cymru Premier,,,,6.02,0.07,162,8%,"2,421.00",0.09,,0.04,0.04,0.04,0.1,8%,4.01,0.41,18%,0.41,0.07,18%,2,12.3km,0.33,52.6,46.13,8.4,8.14,3.98,0.11,0.45,0.04,0.45,1.23,1.34,10.59,0.86,2.42,0.07,67%,1.78,77%,88%,8.48,0.04,0.11,0.86,0.19
,  ,Ashley Hunt,£500  £1.5K,1.03,58,JD Cymru Premier,,,,9.88,0.03,286,11%,"2,605.00",0.03,,0.02,0.03,0.02,0.06,11%,6.56,1.21,20%,0.17,0.03,20%,1,10.8km,0.03,50.51,42.74,4.87,3.49,3.87,0.17,0.31,0.03,0.45,1.42,1.31,17.24,0.31,1.14,1.31,66%,1.14,87%,85%,2.9,0.24,,0.31,
,  ,Leon Elliott,£1K  £3.5K,0.94,59,JD Cymru Premier,,,,6.15,0.04,160,6%,"2,341.00",0.1,,0.07,0.04,0.07,0.1,17%,3.19,0.42,5%,0.73,0.04,5%,1,12.1km,0.23,51.55,46.44,8.3,7.65,3.73,0.19,0.69,0.12,0.35,1.38,1.19,11.38,1.31,2.19,0.38,52%,1.35,56%,90%,8.57,0.12,0.27,1.31,0.04
,  ,Kilian Lenihan,£0,0.84,60,JD Cymru Premier,,,,8.5,0,298,,,0.03,,0.03,,0.03,0.1,18%,5.87,0.77,,0.06,0,0%,0,11.0km,0.11,53.04,44.12,4.42,3.48,3.25,0.09,0.31,0.06,0.6,2.22,1.4,13,0.4,1.23,0.34,69%,1.06,77%,83%,2.94,0.31,0.03,0.4,0.06
,  ,Conor Leavy,£0,0.87,64,JD Cymru Premier,,,,10.17,0.07,272,4%,"2,407.00",0.01,,0.08,0.04,0.08,0.09,24%,7.55,0.9,50%,0.15,0.07,50%,2,11.1km,,50.52,39.97,4.82,3.48,4.08,0.3,0.93,0.22,0.67,1.83,1.5,16.3,0.49,1.31,0.64,74%,1.12,75%,79%,2.84,0.34,0.07,0.49,0.04
,  ,Brayden Clarke,£70K  £220K,2.56,98,JD Cymru Premier,,,,8.61,0,114,10%,596,0.03,,0.13,0.15,0.13,0.08,25%,5.89,0.91,,0.53,0,0%,0,10.9km,,49.98,42.73,5.44,3.62,3.32,0.6,1.51,0.38,0.23,1.28,1.13,17.97,0.23,1.28,0.08,68%,1.13,88%,85%,3.78,0.3,0.08,0.23,
,  ,Gordon Crawford,£0,0.89,65,JD Cymru Premier,,,,7.88,0.12,273,4%,"3,118.00",0.04,,0.1,0.03,0.1,0.12,15%,4.82,0.35,36%,0.32,0.12,36%,4,10.9km,0.06,52.45,43.35,5.2,4.24,3.29,0.26,0.78,0.12,0.58,1.62,1.62,18.59,0.38,1.18,0.95,61%,1.04,80%,83%,3.32,0.17,0.12,0.38,0.03
,  ,Mark Smith,£0,0.97,66,JD Cymru Premier,,,,9.37,0,289,,,0.04,,0.04,,0.04,0.11,0%,6.9,1,,0.39,0.03,8%,0,11.6km,,51.66,41.68,5.25,3.34,3.47,0.1,0.42,0,0.45,1.36,1.39,17.05,0.36,0.97,0.62,74%,0.78,77%,81%,2.59,0.19,0.06,0.36,0.03
,  ,Freddie Anderson,£0,0.8,65,JD Cymru Premier,,,,8.75,0,50,,,0.03,,0.19,,0.19,0.18,0%,5.78,2.1,,0,0,,0,11.4km,,47.98,40.62,3.15,3.33,3.15,0.18,1.05,0,0.18,0.88,1.75,12.08,0.18,1.4,2.63,66%,1.4,89%,85%,2.45,0,,0.18,
,  ,Patrick Rees,£4K  £12K,1.47,70,JD Cymru Premier,,,,8.78,0.12,292,5%,"2,994.00",0.02,,0.07,0.03,0.07,0.11,18%,6.61,0.87,25%,0.48,0.12,25%,4,10.7km,0.12,51.67,41.6,4.51,4.45,3.31,0.12,0.66,0.12,0.69,1.38,1.38,13.32,0.24,0.96,2.04,75%,1.08,90%,81%,3.13,0.12,0.03,0.24,0.03
,  ,Wout Moulin,£26K  £80K,2.06,101,JD Cymru Premier,,,,7.81,0.03,258,4%,"2,972.00",0.09,,0.1,0.03,0.1,0.13,29%,5.12,0.61,25%,0.12,0.03,25%,1,11.1km,0.03,56.02,51.48,5.06,2.36,4.06,0.27,0.73,0.21,0.67,1.3,1.85,24.8,0.33,0.97,0.76,66%,0.91,77%,92%,2.97,0.21,0.27,0.39,0.12
,  ,Kian Best,£14K  £40K,2.13,85,JD Cymru Premier,,,,7.2,0.19,189,8%,"2,362.00",0.12,,0.05,0.04,0.05,0.12,8%,5.26,0.46,15%,7.13,0.8,11%,5,11.0km,0.65,48.01,40.24,7.39,7.66,4.95,0.19,0.46,0.04,0.8,1.98,1.52,15.36,0.76,1.79,0.5,73%,1.83,81%,84%,5.18,0.23,0.27,1.45,0.23
,  ,Damion Jarram,£12K  £40K,1.63,85,JD Cymru Premier,,,,8.69,0.12,297,7%,"3,077.00",0.02,,0.03,0.03,0.03,0.07,13%,5.32,1.29,28%,0.41,0.12,29%,4,10.9km,0.15,50.16,42.79,5.82,4.94,3.51,0.18,0.44,0.06,0.44,1.29,1.2,14.3,0.26,1.17,0.61,61%,1.08,80%,85%,3.57,0.2,0.09,0.26,
,  ,Adam Forsyth,£6K  £16K,2.07,76,JD Cymru Premier,,,,9.39,0,127,,,0.02,,0.06,,0.06,0.12,0%,6.36,0.59,,0.15,0,0%,0,9.9km,,51.1,42,3.77,3.03,3.33,0.15,0.52,0,0.89,2,1.04,15.9,0.44,0.81,0.37,68%,0.74,83%,82%,2.74,0.44,0.15,0.44,
,  ,Connor Davies,£2.5K  £7K,2.14,84,JD Cymru Premier,,,,9.63,0,258,,,0.07,,0.04,,0.04,0.08,7%,6.94,1.42,,0.52,0.07,14%,0,10.8km,,54.72,47.15,4.44,2.2,3.92,0.26,0.56,0.04,0.41,1.53,1.64,23.52,0.41,1.27,0.22,72%,0.97,70%,86%,2.61,0.11,0.04,0.6,0.11
,  ,Zac Williams,£500  £2K,2.13,97,JD Cymru Premier,,,,6.02,0.24,199,,,0.2,,0.03,,0.03,0.17,33%,3.81,0.39,11%,2.18,0.24,11%,8,12.0km,0.54,47.62,41.02,12.17,9.23,5.24,0.09,0.18,0.06,0.67,1.27,2.21,16.29,0.85,2.48,0.58,63%,2.69,82%,86%,7.84,0.21,0.18,0.97,0.12
