Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Jiří Kaufman,£27M  £80M,1.42,157,Italian Serie A,5.83,4.25,1.08,,0,0,,0,10.9km,0.08,60.58,57.33,4.67,2.42,4.5,0.25,0.67,0.08,0.42,0.67,1.25,17.08,0.25,1.42,0.83,73%,1.83,92%,95%,3.25,0.33,,0.25,
,  ,Bernard Brennan,£29M  £86M,1.91,157,English Premier Division,6.82,4.91,0.55,,0.09,0,0%,0,11.4km,0.18,62.36,57.82,5.55,1.36,4.91,0.18,0.73,0.18,0.73,1,2.09,18.09,0.36,1.18,0.27,72%,1.27,100%,93%,3.27,0.45,,0.36,
Int,  ,Sıddık Kocabaşoğlu,£59M  £177M,1.53,155,English Premier Division,7.12,5.17,0.84,25%,0.28,0.07,25%,1,11.6km,0.21,60.26,57.04,6.21,3.28,4.12,0.21,0.7,0.21,0.35,0.77,2.09,18.71,0.07,1.82,1.12,73%,1.19,59%,95%,3,0.28,0.07,0.07,
Inj,  ,Juan Carlos Rojas,£39M  £118M,2,155,English Premier Division,7.62,5.3,0.99,,0,0,,0,11.4km,0.25,61.57,53.87,5.72,3.73,4.14,0,0.08,0.08,0.66,0.83,2.15,14.92,0.33,0.41,0.5,70%,0.5,46%,87%,2.49,0.08,,0.33,0.08
,  ,Mirza Pervan,£49M  £147M,1.62,153,Bundesliga,6.52,5.47,0.38,100%,0.07,0.07,100%,1,11.6km,0.22,62.4,57.6,5.77,2.92,3.75,0.15,0.38,0.3,0.75,0.97,2.48,15.9,0.22,1.12,0.67,84%,1.2,89%,92%,3.45,0.22,0.15,0.22,
,  ,Tomás Zanchi,£43M  £128M,1.73,152,Italian Serie A,5.69,3.85,0.19,,0.19,0,0%,0,11.5km,0.29,60.42,55.41,6.17,2.79,4.34,0.1,0.39,0.1,0.67,1.06,2.31,19.27,0.29,0.48,0.58,68%,0.58,86%,92%,2.79,0.19,,0.29,
Wnt,  ,Asgeir Husby,£16M  £48M,2.44,152,Portuguese Premier League,7,4.83,1,,0.06,0,0%,0,11.5km,0.17,62.17,58,5,1.56,5.72,0.06,0.28,0.17,0.28,0.72,2.33,20.94,0.06,1.39,0.44,69%,1.39,76%,93%,4.06,0.22,0.33,0.06,
,  ,Juan Pablo Aliaga,£37M  £111M,1.41,151,Eredivisie,6.87,3.71,0.84,,0.06,0,0%,0,11.4km,0.36,60.24,54.32,5.02,2.63,3.29,0.24,0.54,0.18,0.54,0.78,2.15,16.55,0.12,0.84,0.66,54%,0.84,64%,90%,2.75,0.12,,0.12,
,  ,Emir Basuljevic,£62M  £185M,1.93,151,Bundesliga,6.22,3.96,0.85,33%,0.21,0.07,33%,1,10.8km,0.28,60.47,56.23,3.89,3.11,5.02,0.14,0.28,0.14,0.35,0.57,2.05,20.56,0,0.99,0.78,64%,1.06,79%,93%,2.61,0.21,,,
,  ,Roberto Villalba,£37M  £111M,1.44,149,Ligue 1 Uber Eats,6.5,4.44,0.62,,0.06,0,0%,0,11.8km,0.44,61.38,58.38,6,2.38,4.19,0.25,0.38,0.06,0.94,0.69,1.38,16.12,0.12,0.94,0.25,68%,1.44,85%,95%,3.81,0.25,0.06,0.12,
Wnt,  ,Ahmed Renouf,£35M  £105M,1.39,149,Ligue 1 Uber Eats,7.1,4.32,0.62,,0.06,0,0%,0,11.6km,0.11,58.15,53.77,5.62,2.56,4.15,0.06,0.45,0.11,0.57,1.31,1.65,15.96,0.45,0.74,1.08,61%,1.02,90%,92%,2.27,0.17,,0.45,0.06
Int,  ,Alp Erdoğan,£42M  £127M,1.88,148,Ligue 1 Uber Eats,7.11,4.49,0.74,,0,0,,0,11.5km,0.27,67.94,62.84,5.9,2.08,3.62,0.2,0.27,0.13,0.67,0.6,2.21,21.59,0.13,0.67,1.34,63%,0.87,87%,92%,2.48,0,,0.13,
,  ,João Gomes,£21M  £63M,1,148,Saudi Professional League,,,0,,0,0,,0,0.0km,,20,14.69,0,0,0,0,0.44,0.06,,0,,0,0,0,0,,1.94,97%,73%,0,0,,,0.12
Rst,  ,Mathew Brewerton,£9.2M  £28M,1.72,147,cinch Premiership,7.54,5.29,0.79,,0,0,,0,11.3km,0.12,60.99,56.45,5.41,1.74,3.55,0.04,0.32,0,0.55,0.71,2.49,19.03,0.12,0.71,0.83,70%,0.91,88%,93%,2.37,0.08,,0.12,0.04
,  ,Quentin Clauss,£32M  £97M,1.69,147,Bundesliga,6.06,4.31,0.81,,0,0,,0,11.3km,0.12,61.88,54.38,6.12,3.5,4.19,0,0.25,0.06,0.75,0.75,1.69,14.94,0.19,0.81,0.69,71%,1.06,81%,88%,3.19,0.06,,0.19,
,  ,Doniel Thier,£26M  £78M,1.75,147,English Premier Division,6.9,5.05,0.58,,0,0,,0,11.0km,0.13,60.34,56.44,4.54,3.52,3.77,0.13,0.45,0.13,0.89,1.34,1.73,16.24,0.58,0.83,0.38,73%,0.83,65%,94%,2.94,0.19,0.06,0.58,
Inj,  ,Nicolaj Abildgaard,£27M  £82M,1.79,147,English Premier Division,6.57,4.62,0.73,50%,0.16,0.08,50%,1,11.5km,0.32,61.86,56.59,4.7,3.65,4.22,0.24,0.49,0.16,0.41,0.32,2.11,15.57,0.08,1.3,0.41,70%,1.46,90%,91%,3.08,0.24,,0.08,
Wnt,  ,Muammer Görgülü,£8.4M  £25M,1.69,147,Turkish Super League,5.13,3.08,0.71,50%,0.16,0.08,50%,1,11.5km,0.08,64.13,57.42,5.76,2.05,4.57,0.16,0.39,0,0.47,0.87,1.89,16.96,0.32,1.03,0.55,60%,0.95,63%,90%,2.52,0.32,,0.32,
Wnt,  ,Saša Popović,£22M  £67M,2.2,146,Bundesliga,3.65,1.98,0.38,16%,0.46,0.08,17%,1,11.7km,0.53,57.06,53.56,7.53,5.4,5.17,0.15,0.68,0.15,0.3,0.91,1.67,17.35,1.07,1.83,0.3,54%,1.52,71%,94%,6.09,0.23,0.46,1.07,0.15
Wnt,  ,Benjamin Lascaux,£6.6M  £19.5M,1.75,144,Bulgarian First League,7,5,0.6,,0.2,0,0%,0,11.7km,0.1,60.5,55.95,5.5,3.35,4.85,0.05,1.05,0.2,0.45,0.95,2.15,17.1,0.3,1.05,0.7,71%,0.8,70%,92%,2.45,0.35,,0.3,
Wnt,  ,Oğuzhan Yaman,£14M  £41M,2.39,144,Portuguese Premier League,7.41,4.39,0.46,,0.11,0,0%,0,11.2km,,60.65,56.71,5.07,2.62,3.99,0.11,0.51,0.06,0.57,1.42,2.28,17.38,0.34,0.85,0.91,59%,1.2,88%,94%,2.56,0.34,0.06,0.34,
,  ,Aleksandar Veselinović,£28M  £84M,2.33,144,Italian Serie A,6.73,4.47,0.67,,0.07,0,0%,0,11.2km,0.07,60.47,55.53,4.6,3,4.33,0.13,0.4,0.2,0.73,1.27,1.73,21.33,0.4,1.27,0.33,66%,1,58%,92%,3.2,0.4,0.07,0.4,
Wnt,  ,Mohamed Sow,£11.5M  £35M,2.1,143,cinch Premiership,6.95,4.75,1.05,,0,0,,0,11.3km,0.1,59.35,53.85,4.9,2.4,3.85,0,0.25,0.05,0.55,0.65,1.95,15.2,0.1,0.9,0.85,68%,1.05,81%,91%,3.05,0.2,0.05,0.1,0.05
,  ,Ousseynou Sy,£4.7M  £14M,2.12,143,Bulgarian First League,6.59,4.25,0.65,66%,0.12,0.08,67%,2,11.0km,0.08,66.22,61.97,4.69,1.29,4.29,0.12,0.53,0.2,0.69,1.01,2.14,22.89,0.44,0.89,0.57,64%,0.93,66%,94%,2.79,0.32,0.08,0.44,0.16
,  ,Enzo Ricci,£6.2M  £18.5M,2.24,142,Austrian Premier Division,6.64,4.43,1.11,,0.06,0,0%,0,11.2km,0.31,59.14,54.28,5.1,2.95,3.2,0,0.31,0.06,0.43,1.05,1.48,18.5,0.25,1.29,0.61,67%,1.54,100%,92%,3.44,0.25,0.18,0.25,
,  ,Casimiro Pérez Jiménez,Not for Sale,1,141,Saudi Professional League,,,0,,0,0,,0,0.0km,,20,14.07,0,0,0,0,0.67,0.2,,0,,0,0,0,0,,1.67,96%,70%,0,0,,,0.27
,  ,Vanja Gagić,Not for Sale,1.82,140,Ligue 1 Uber Eats,6.2,4.31,1,50%,0.12,0.06,50%,1,11.3km,0.18,62.13,56.52,5.2,3.96,4.84,0,0.18,0.06,0.12,0.71,2.66,17.89,0.12,1.36,0.59,70%,1.48,81%,91%,3.25,0.24,,0.12,0.06
,  ,Matt Davies,£13M  £39M,1.29,140,Turkish Super League,6.27,4.07,0.63,,0.16,0,0%,0,11.8km,,66.81,62.9,6.42,2.11,3.6,0.16,0.39,0.08,0.63,1.17,2.35,18.49,0.23,1.1,1.02,65%,0.86,69%,94%,3.13,0.23,0.08,0.23,
,  ,Saná Pina,£15.5M  £47M,1.5,140,Spanish First Division,6.92,4.5,0.67,,0.08,0,0%,0,11.1km,0.08,61,54.67,4.75,3,4.33,0.08,0.33,0.17,0.33,0.58,2.42,16.83,0.25,1,0.58,65%,1.33,94%,90%,3.25,0.08,,0.25,0.08
,  ,Jack Minall,Not for Sale,0.5,138,English Premier Division,6.48,4.56,0.44,33%,0.26,0.09,33%,1,10.5km,0.18,61.96,58.8,3.68,2.63,3.94,0.09,0.18,0,0.26,1.31,2.37,13.58,0.26,1.31,1.84,70%,0.53,32%,95%,3.68,0.53,0.09,0.26,
,  ,Dušan Grujičić,£7.4M  £22M,1.8,138,Greek Super League 1,6.35,4.75,0.8,,0.1,0,0%,0,11.8km,0.15,60.33,53.13,5.45,2.2,3.55,0.05,0.3,0.1,0.65,1,2.1,18.51,0.25,0.85,0.5,75%,1.2,89%,88%,3.1,0.4,,0.25,
,  ,Mamadu Camará,£12.5M  £37M,2.27,137,Portuguese Premier League,7.77,4.77,0.37,,0.28,0,0%,0,11.1km,,60.9,57.44,4.77,2.99,4.02,0.19,0.28,0.09,0.65,1.03,1.96,18.9,0.47,0.65,0.65,61%,0.75,73%,94%,2.15,0.37,,0.47,0.19
,  ,Daniel Bailey,£12M  £35M,0.82,137,English Premier Division,7.36,6,0.82,,0.09,0,0%,0,11.6km,0.27,60.55,55.91,4.36,4.55,3.27,0,0.09,0,0.45,0.91,1.64,11.18,0.18,0.91,1.27,81%,0.91,63%,92%,2.91,0.18,,0.18,
Int,  ,César Gómez,Not for Sale,1,137,Saudi Professional League,,,0,,0,0,,0,0.0km,,21.01,14.97,0,0,0,0,0.39,0.2,,0,,0,0,0,0,,2.04,97%,71%,0,0,,,0.13
Wnt,  ,Grga Antonić,£10.5M  £31M,1.25,137,Bundesliga,6.61,5.25,0.63,,0,0,,0,11.6km,0.27,60.12,54.42,6.7,2.9,3.53,0.18,0.45,0,1.09,0.91,2.17,17.38,0.09,0.91,0.81,79%,1.18,87%,91%,3.71,0.36,,0.09,
Wnt,  ,Martin Olsen,£7.4M  £22M,2.21,137,3F Superliga,5.75,3.4,0.35,50%,0.09,0.04,50%,1,11.0km,0.48,60.83,56.82,4.48,2.39,4.27,0.09,0.35,0.09,0.39,0.74,2.22,19.64,0.26,0.83,0.57,59%,0.87,69%,93%,2.53,0.22,0.04,0.26,0.04
Wnt,  ,Žan Podkrajšek,£1.7M  £5.2M,2.64,137,Croatian First League,6.77,3.73,0.5,33%,0.15,0.05,33%,1,11.1km,0.1,60.15,55.07,4.48,2.09,4.73,0.15,0.5,0.2,0.5,1.04,1.94,23.83,0.45,1.04,0.75,55%,1.09,79%,92%,2.79,0.5,0.1,0.45,0.05
,  ,Imad Peron,Not for Sale,2,137,Italian Serie A,6.92,5.17,1.08,,0.17,0,0%,0,11.4km,0.33,58.75,53.83,5.33,3.08,4.58,0.08,0.5,0,0.25,0.92,1.67,18.75,0.08,1,0.33,75%,1.42,85%,92%,2.67,0.25,,0.08,
,  ,Ercan Akar,£12.5M  £38M,2.28,135,Turkish Super League,5.45,3.33,0.44,,0.05,0,0%,0,11.1km,0.27,55.53,51.05,4.36,2.62,2.78,0.22,0.65,0.05,0.6,0.93,1.58,17.95,0.33,1.04,0.76,61%,1.31,83%,92%,2.73,0.38,0.05,0.33,
Inj,  ,Nacho Grau,£11M  £33M,2.29,135,Spanish First Division,6.86,3.55,0.54,,0.08,0,0%,0,10.8km,0.08,60.85,54.76,4.24,3.78,4.94,0,0.08,0.08,0.46,0.93,1.93,15.89,0.15,1.23,1,52%,1.31,77%,90%,3.01,0.23,,0.15,
Rst,  ,Víctor Peña,£7M  £21M,1.8,135,Swiss Super League,6.67,4.24,0.62,,0.04,0,0%,0,11.6km,0.18,62.1,55,5.03,2.65,4.15,0.26,0.62,0.13,0.49,1.1,2.03,18.14,0.35,1.1,0.79,64%,1.15,79%,89%,3.09,0.4,0.13,0.35,0.04
,  ,Dan Sheppard,Not for Sale,1.85,135,Jupiler Pro League,6.59,4.08,0.78,,0.08,0,0%,0,11.3km,0.31,60.97,55.24,4.86,2.75,5.26,0.08,0.31,0.08,0.47,0.86,1.73,21.34,0.47,1.26,0.47,62%,0.86,61%,91%,3.14,0.16,0.24,0.47,0.08
,  ,Tiago Trindade,£6.2M  £18.5M,2,135,Bulgarian First League,6.41,3.54,0.76,,0.08,0,0%,0,11.2km,0.21,60.84,56.41,4.98,2.24,3.92,0.04,0.34,0.04,0.38,1.1,1.86,18.44,0.17,1.39,0.51,55%,1.48,76%,93%,3.25,0.42,0.04,0.17,0.04
,  ,Joseba Kortazar,£7.6M  £23M,2.08,134,3F Superliga,6.75,4.29,1,,0.08,0,0%,0,11.3km,0.12,61.29,54.75,4.71,2.71,3.5,0,0.04,0.04,0.46,1.08,1.58,20.54,0.12,1.54,0.42,64%,1.46,76%,89%,3.17,0.25,0.04,0.12,
Ret,  ,Karyl Taupotini,Not for Sale,1,134,Saudi Professional League,,,0,,0,0,,0,0.0km,,20,14,0,0,0,0,0.69,0.06,,0,,0,0,0,0,,1.94,94%,70%,0,0,,,0.06
,  ,Hanky Burg,£9.4M  £28M,1.89,133,Russian Premier League,6.72,4.78,0.5,,0.06,0,0%,0,11.5km,0.17,60.94,54.06,5.56,2.22,3.67,0.11,0.39,0.11,0.78,1.06,2.11,19.89,0.11,1,1.06,71%,1.11,74%,89%,3.56,0.44,,0.11,
,  ,Ásgeir Magnússon,£2.9M  £8.8M,1,133,Ligue 1 Uber Eats,6.45,3.06,0.83,,0.08,0,0%,0,11.2km,0.08,57.44,51.4,4.79,3.14,3.55,0.17,0.58,0.17,0.41,0.99,2.15,18.51,0.25,1.07,1.4,47%,0.91,61%,89%,2.98,0.33,,0.25,0.08
,  ,Nicolás Menegon,Not for Sale,0.6,132,English Premier Division,6.1,3.2,0.6,,0.2,0,0%,0,11.9km,0.1,59.6,56.2,6.2,4.9,4.6,0,,,0.2,0.9,1.6,13,0.2,1.8,1.4,52%,2.3,88%,94%,3.5,0.7,,0.2,
,  ,Arnal Navarro,£8.4M  £25M,1.18,132,Bundesliga,6.28,4.97,0.1,100%,0.1,0.1,100%,1,11.1km,,62.94,57.57,5.47,3.45,2.74,0.1,0.51,0,0.81,1.22,1.82,17.03,0.41,0.51,0.71,79%,0.61,86%,91%,1.82,0.3,0.2,0.41,
,  ,Luka Medved,£5.6M  £16.5M,1.71,132,Portuguese Premier League,5.21,3.29,0.64,,0.07,0,0%,0,11.4km,0.14,60.86,54.29,5.21,3.07,4.43,0.36,0.5,0,0.57,1.29,1.79,18.86,0.43,1.07,0.29,63%,1.07,63%,89%,3.93,0.43,0.21,0.43,0.14
,  ,Martial Zamblé,£4.9M  £14.5M,1.33,132,Eredivisie,7.67,5.42,0.92,100%,0.08,0.08,100%,1,11.3km,0.08,59,54.25,5.42,3.42,3.25,0.25,0.42,0.08,0.5,0.92,2,14.67,0.25,1.08,0.17,71%,1.08,68%,92%,3.17,0.33,,0.25,
,  ,Aldo Mazzoleni,Not for Sale,0.5,132,English Premier Division,5.92,3.25,0.75,,0,0,,0,11.7km,0.42,59.08,54.5,5.75,2.92,4.75,0.17,0.67,0.17,0.58,1.17,1.42,14,0.42,1.17,1.33,55%,1.08,68%,92%,3.25,0.17,,0.42,0.08
,  ,Ryuichi Sasaki,£2.9M  £8.8M,2.69,132,Bulgarian First League,6.62,4.54,0.85,,0.15,0,0%,0,10.7km,0.15,61.08,56.62,3.77,2.23,3.69,0.15,0.46,0.08,0.31,1.15,2.69,22.85,0.08,1.15,0.46,69%,1.15,83%,93%,3.15,0.15,,0.08,
Wnt,  ,Oliver Duru,£14M  £41M,1.58,132,Ligue 1 Uber Eats,7.52,5.53,0.78,,0,0,,0,10.8km,0.17,59.57,54.38,4.15,3.03,4.84,0.17,0.26,0.09,0.61,1.38,1.99,15.3,0.61,1.47,0.78,74%,1.21,70%,91%,2.85,0.35,0.09,0.61,
Wnt,  ,Darius Manea,£8.2M  £25M,1.67,132,Jupiler Pro League,5.7,3.9,0.84,,0.08,0,0%,0,11.4km,0.21,62.93,59.41,5.03,1.8,3.94,0.08,0.29,0.08,0.29,0.84,1.89,18.56,0.21,1.01,1.09,68%,1.05,83%,94%,2.85,0.29,0.04,0.21,0.04
Inj,  ,Armand,£8M  £24M,2.19,132,Portuguese Premier League,6.68,3.51,0.73,,0.13,0,0%,0,10.6km,0.26,61.35,55.65,4.04,2.98,3.97,0.07,0.26,0,0.53,0.53,1.99,18,0.2,1.06,0.53,52%,1.12,68%,91%,3.04,0.2,0.2,0.2,
,  ,Shaquille Warner,£4.3M  £13M,2.06,131,Russian Premier League,7.17,5.28,1.17,,0,0,,0,11.4km,0.17,60.11,56.06,5.89,1.83,3.61,0.17,0.33,0.11,0.33,1,0.94,19,0,1,1.22,74%,1,75%,93%,3.28,0.06,0.22,,
Wnt,  ,Marjan Koren,£8.2M  £25M,1.05,131,Eredivisie,5.92,3.57,0.67,,0.06,0,0%,0,11.1km,0.11,60.86,56.61,4.69,3.24,3.8,0.28,0.73,0.22,0.28,1.34,1.73,14.91,0.11,1.28,0.39,60%,1.45,79%,93%,3.18,0.33,0.06,0.11,0.06
,  ,Emanuele Meli,£1.5M  £4.4M,1.27,131,Portuguese Premier League,6.09,3.35,0.79,,0.09,0,0%,0,11.1km,0.18,60.44,56.03,4.68,3.44,3.97,0.09,0.35,0,0.44,1.41,1.24,14.91,0.26,0.88,0.44,55%,0.79,56%,93%,2.82,0.09,,0.26,
Rst,  ,Milovan Čabarkapa,£1.9M  £5.6M,1.33,131,Bulgarian First League,7.11,3.94,1.03,50%,0.09,0.04,50%,1,11.6km,0.21,61.86,54.83,5.65,2.7,4.54,0.04,0.21,0.13,0.47,0.9,1.88,18.12,0.3,1.2,0.69,55%,1.63,88%,89%,3.51,0.34,0.09,0.3,0.13
,  ,Lennox Foote,£1.6M  £4.8M,1.89,131,Sky Bet Championship,7.29,5.47,0.82,,0.06,0,0%,0,11.8km,0.35,61.88,55.88,5.88,2.53,4.24,0.35,1,0.12,0.53,1.06,1.65,19.41,0.29,0.82,0.29,75%,1.12,86%,90%,2.59,0.18,0.12,0.29,0.24
Int,  ,Scott Allen,£5.2M  £15.5M,1.62,131,Eredivisie,6.35,4.83,0.97,,0.16,0,0%,0,11.7km,0.16,59.84,51.88,5.07,2.33,3.78,0.24,0.4,0.16,0.4,0.97,1.69,15.12,0.24,1.05,0.48,76%,1.13,82%,87%,2.49,0.4,0.24,0.24,
,  ,Mario Hernández,£13M  £39M,0.6,131,Bundesliga,5.5,3,0.3,75%,0.4,0.3,75%,3,11.5km,,60.6,54.9,4.9,3.2,4.9,0.2,0.3,0.1,0.3,1,2.5,13.2,0.3,1.1,0.6,55%,1.4,93%,91%,2.4,0.4,0.2,0.3,
,  ,Kento Takeda,£7.4M  £22M,1.71,130,Jupiler Pro League,6.87,4.2,0.69,,0,0,,0,11.7km,,60.08,56.72,6.49,2.98,4.2,0.15,0.53,0,0.61,0.99,1.98,25.04,0.38,1.22,0.76,61%,0.99,68%,94%,2.98,0.31,0.15,0.38,0.08
Wnt,  ,Chris Jiminez,Not for Sale,1.29,130,Major League Soccer,3.43,1.29,0.3,50%,0.17,0.09,50%,2,5.8km,0.21,29.27,22.8,3.13,4.97,1.29,0.17,2.19,1.11,0.04,0.21,0.73,5.96,0.13,0.77,0.13,38%,1.8,71%,78%,2.7,0.21,0.04,0.13,0.13
Wnt,  ,Rigers Selimi,£4.2M  £12.5M,2.06,130,Swiss Super League,6.76,4.53,0.47,,0.06,0,0%,0,11.7km,0.12,62.47,56.41,5.88,2.47,3.88,0.06,0.24,0.06,0.41,0.88,2.12,16.53,0.29,1.12,0.76,67%,1.06,69%,90%,2.71,0.35,0.12,0.29,
Wnt,  ,Babacar Thiam,£2.5M  £7.6M,1.95,130,Russian Premier League,6.39,4.64,0.65,,0.05,0,0%,0,10.9km,0.27,60.04,54.14,4.64,2.84,4.58,0.27,0.82,0.11,0.55,0.71,1.69,15.28,0.55,1.15,0.27,73%,1.2,81%,90%,2.78,0.11,0.11,0.55,0.16
,  ,Shintaro Yokoyama,£6.8M  £20M,1,130,Saudi Professional League,,,0,,0,0,,0,0.0km,,20,13.94,0,0,0,0,0.44,0.12,,0,,0,0,0,0,,2.12,97%,70%,0,0,,,
Int,  ,Michael Pyott,£6.6M  £19.5M,1.09,130,cinch Premiership,5.52,3.8,0.63,,0,0,,0,11.6km,0.27,66.46,61.93,5.52,2.9,4.53,0.09,0.27,0.09,0.54,1.09,0.91,16.21,0.27,1.63,1.36,69%,1.45,67%,93%,3.44,0.36,0.09,0.27,0.09
Ask,  ,Florian Rodrigues,£6.4M  £19M,2.25,130,Ligue 2 BKT,6,3.38,0.69,,0.12,0,0%,0,10.7km,0.12,57.56,51.75,4.69,2.94,4.25,0.12,0.5,0.06,0.38,0.56,1.56,18.38,0.19,1.12,1.31,56%,1.5,75%,90%,3.19,0.19,,0.19,0.25
,  ,Antonio,£5M  £15M,1.44,130,Greek Super League 1,7.21,4.46,0.89,,0,0,,0,11.5km,0.21,58.49,55.19,5.22,2.88,3.23,0.07,0.41,0,0.55,0.82,1.37,15.51,0.14,0.82,0.62,62%,1.1,100%,94%,2.06,0.14,0.07,0.14,0.07
